,,,,TOTAL VIRGINIA POPULATION 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,3,3,Washington County,55190,564,2138,2891,3158,1881,1432,3372,2799,3072,3183,3727,3909,4359,4289,4068,3358,2726,1992,1248,1024,,2702,6049,3313,3372,5871,6910,8268,8357,6084,3240,1024,564
197,3,3,Wythe County,29251,270,1197,1725,1735,1025,622,1517,1580,1568,1745,2131,2187,2146,2228,2111,1744,1403,973,731,613,,1467,3460,1647,1517,3148,3876,4333,4339,3147,1704,613,270
520,3,3,Bristol City,17662,117,738,1010,1067,580,449,1210,1138,1067,1045,1084,1221,1231,1161,1167,933,799,660,502,483,,855,2077,1029,1210,2205,2129,2452,2328,1732,1162,483,117
640,3,3,Galax City,6908,106,352,385,468,258,170,407,348,364,381,453,428,461,520,419,380,281,226,214,287,,458,853,428,407,712,834,889,939,661,440,287,106
63,3,4,Floyd County,15390,135,663,902,973,574,307,720,714,817,904,1033,1136,1170,1229,1183,1026,753,470,352,329,,798,1875,881,720,1531,1937,2306,2412,1779,822,329,135
71,3,4,Giles County,16928,162,687,964,1074,632,347,970,791,873,994,1185,1292,1216,1223,1257,1169,759,497,435,401,,849,2038,979,970,1664,2179,2508,2480,1928,932,401,162
121,3,4,Montgomery County,95194,814,3382,4219,4110,2543,7627,21242,7428,5262,4873,5041,4762,4886,4830,4158,3326,2384,1714,1280,1313,,4196,8329,10170,21242,12690,9914,9648,8988,5710,2994,1313,814
155,3,4,Pulaski County,34736,283,1351,1775,1949,1133,713,1949,1796,1845,2164,2521,2520,2613,2691,2702,2335,1660,1209,821,706,,1634,3724,1846,1949,3641,4685,5133,5393,3995,2030,706,283
750,3,4,Radford City,16685,145,561,671,709,392,2205,4373,1312,723,691,769,651,733,775,623,394,324,222,209,203,,706,1380,2597,4373,2035,1460,1384,1398,718,431,203,145
5,3,5,Alleghany County,16230,156,598,853,1020,683,333,801,703,746,793,1038,1157,1246,1207,1233,1181,968,632,442,440,,754,1873,1016,801,1449,1831,2403,2440,2149,1074,440,156
23,3,5,Botetourt County,33154,226,1158,1957,2252,1462,721,1461,1339,1413,1712,2335,2743,2861,2811,2669,2104,1510,1061,728,631,,1384,4209,2183,1461,2752,4047,5604,5480,3614,1789,631,226
45,3,5,Craig County,5213,46,207,278,336,217,99,269,210,242,280,349,408,453,395,384,371,256,196,108,109,,253,614,316,269,452,629,861,779,627,304,109,46
161,3,5,Roanoke County,92901,831,3622,5330,6041,3686,2258,4981,4481,4834,5309,6702,6775,7208,6997,6644,5406,3924,3087,2514,2271,,4453,11371,5944,4981,9315,12011,13983,13641,9330,5601,2271,831
580,3,5,Covington City,5771,62,272,327,353,215,123,358,311,319,324,390,438,448,388,391,333,251,176,142,150,,334,680,338,358,630,714,886,779,584,318,150,62
770,3,5,Roanoke City,97469,1417,5633,5917,5289,3031,1990,6431,7689,7260,5981,6372,6558,6981,6865,5973,4294,2864,2373,2065,2486,,7050,11206,5021,6431,14949,12353,13539,12838,7158,4438,2486,1417
775,3,5,Salem City,24970,264,992,1329,1463,910,1108,2293,1430,1290,1270,1570,1612,1805,1821,1614,1235,940,825,608,591,,1256,2792,2018,2293,2720,2840,3417,3435,2175,1433,591,264
15,1,6,Augusta County,73658,636,2837,4179,4549,2889,1633,4100,3741,4082,4126,5094,5747,6045,5649,5065,4517,3326,2335,1660,1448,,3473,8728,4522,4100,7823,9220,11792,10714,7843,3995,1448,636
17,1,6,Bath County,4652,27,128,181,273,164,101,258,182,217,232,313,386,373,359,367,336,303,194,147,111,,155,454,265,258,399,545,759,726,639,341,111,27
91,1,6,Highland County,2245,13,57,81,91,58,44,94,82,79,89,95,128,235,231,240,208,175,99,66,80,,70,172,102,94,161,184,363,471,383,165,80,13
163,1,6,Rockbridge County,22394,208,776,1159,1198,810,398,1276,1069,1041,1108,1398,1559,1760,1848,1706,1581,1240,935,723,601,,984,2357,1208,1276,2110,2506,3319,3554,2821,1658,601,208
165,1,6,Rockingham County,77391,844,3509,4888,5269,3159,2140,4929,4107,4373,4355,5015,5533,5848,5548,4786,3911,3133,2396,1864,1784,,4353,10157,5299,4929,8480,9370,11381,10334,7044,4260,1784,844
530,1,6,Buena Vista City,6707,58,334,355,399,221,368,719,424,368,320,389,404,397,427,410,354,295,205,120,140,,392,754,589,719,792,709,801,837,649,325,140,58
660,1,6,Harrisonburg City,50981,536,2162,2345,2069,1140,6053,13646,4054,3040,2311,2184,2076,1970,1904,1546,1062,823,639,668,753,,2698,4414,7193,13646,7094,4495,4046,3450,1885,1307,753,536
678,1,6,Lexington City,6998,40,149,204,209,110,1230,1793,411,226,219,231,238,272,301,333,277,189,190,182,194,,189,413,1340,1793,637,450,510,634,466,372,194,40
790,1,6,Staunton City,23921,292,1090,1267,1175,752,689,1658,1540,1542,1320,1405,1488,1647,1657,1583,1379,1049,888,744,756,,1382,2442,1441,1658,3082,2725,3135,3240,2428,1632,756,292
820,1,6,Waynesboro City,21107,320,1254,1432,1274,689,428,1327,1459,1473,1202,1257,1366,1501,1318,1246,1053,850,631,514,513,,1574,2706,1117,1327,2932,2459,2867,2564,1903,1145,513,320
43,1,7,Clarke County,14323,117,603,825,957,656,355,665,619,661,649,944,1256,1367,1138,1056,831,540,444,337,303,,720,1782,1011,665,1280,1593,2623,2194,1371,781,303,117
69,1,7,Frederick County,80317,911,3933,5502,5692,3460,1868,4714,4578,4901,4872,5920,6518,6255,5386,4650,3817,2847,1968,1300,1225,,4844,11194,5328,4714,9479,10792,12773,10036,6664,3268,1225,911
139,1,7,Page County,23895,219,985,1401,1419,928,485,1346,1243,1326,1408,1594,1811,1845,1722,1666,1448,1122,851,578,498,,1204,2820,1413,1346,2569,3002,3656,3388,2570,1429,498,219
171,1,7,Shenandoah County,42583,431,1907,2527,2572,1687,898,2305,2311,2335,2212,2838,3117,3128,3123,2910,2624,2038,1493,1037,1090,,2338,5099,2585,2305,4646,5050,6245,6033,4662,2530,1090,431
187,1,7,Warren County,38070,432,1816,2534,2518,1557,963,2410,2081,2252,2233,2642,3150,3222,2719,2296,1849,1298,883,641,574,,2248,5052,2520,2410,4333,4875,6372,5015,3147,1524,574,432
840,1,7,Winchester City,26881,363,1476,1753,1620,929,939,2229,2127,1886,1528,1586,1810,1715,1669,1406,1168,797,670,613,597,,1839,3373,1868,2229,4013,3114,3525,3075,1965,1283,597,363
13,2,8,Arlington County,221045,3150,9818,10307,8139,4466,3212,14729,35401,27591,19400,16227,14135,12894,11820,10073,7262,4382,2928,2267,2844,,12968,18446,7678,14729,62992,35627,27029,21893,11644,5195,2844,3150
59,2,8,Fairfax County,1118602,14654,59650,75160,73076,44066,27330,61316,80424,83684,80132,86248,87513,87169,76378,62502,44953,27818,18562,13449,14518,,74304,148236,71396,61316,164108,166380,174682,138880,72771,32011,14518,14654
107,2,8,Loudoun County,336898,4844,22461,30455,27650,14818,7313,14320,18837,26091,29413,32080,29244,24120,17660,12892,9384,5788,3906,2867,2755,,27305,58105,22131,14320,44928,61493,53364,30552,15172,6773,2755,4844
153,2,8,Prince William County,430289,6708,27469,34931,33266,19047,10582,27218,30063,34212,32689,34530,33897,30782,24055,18464,13241,8201,4942,3124,2868,,34177,68197,29629,27218,64275,67219,64679,42519,21442,8066,2868,6708
510,2,8,Alexandria City,146294,2634,8298,7063,4909,2992,1858,7507,17278,18360,14075,11963,10013,9280,8487,7527,5363,3082,2026,1548,2031,,10932,11972,4850,7507,35638,26038,19293,16014,8445,3574,2031,2634
600,2,8,Fairfax City,23461,445,1114,1197,1211,776,553,2047,1643,1658,1445,1632,1668,1758,1481,1347,1073,799,589,470,555,,1559,2408,1329,2047,3301,3077,3426,2828,1872,1059,555,445
610,2,8,Falls Church City,13229,213,697,885,914,615,290,563,875,901,919,1058,1053,1052,988,821,497,317,198,160,213,,910,1799,905,563,1776,1977,2105,1809,814,358,213,213
683,2,8,Manassas City,40605,646,2658,3166,2899,1780,1068,2773,3432,3465,2977,2934,2749,2877,2380,1805,1109,719,469,330,369,,3304,6065,2848,2773,6897,5911,5626,4185,1828,799,369,646
685,2,8,Manassas Park City,15798,248,1097,1317,1173,631,371,1083,1475,1505,1354,1231,1141,943,678,544,387,255,178,109,78,,1345,2490,1002,1083,2980,2585,2084,1222,642,287,78,248
47,1,9,Culpeper County,47911,625,2546,3526,3475,1973,1243,2703,2781,3094,2996,3454,3755,3561,3205,2718,2210,1585,1040,754,667,,3171,7001,3216,2703,5875,6450,7316,5923,3795,1794,667,625
61,1,9,Fauquier County,66542,722,3027,4388,5019,3004,1583,3478,3290,3442,3653,4849,5797,5859,5035,4194,3303,2272,1560,1062,1005,,3749,9407,4587,3478,6732,8502,11656,9229,5575,2622,1005,722
113,1,9,Madison County,13200,126,550,802,848,538,271,723,640,641,680,784,958,1124,1036,961,812,644,451,308,303,,676,1650,809,723,1281,1464,2082,1997,1456,759,303,126
137,1,9,Orange County,34246,361,1614,2120,2263,1323,727,1684,1861,1921,1954,2272,2507,2583,2422,2188,2009,1722,1203,804,708,,1975,4383,2050,1684,3782,4226,5090,4610,3731,2007,708,361
157,1,9,Rappahannock County,7456,62,255,362,449,268,151,362,302,312,347,427,569,654,641,676,599,393,287,185,155,,317,811,419,362,614,774,1223,1317,992,472,155,62
3,1,10,Albemarle County,102251,1066,4641,5961,6274,3686,5522,6840,7128,6207,5545,6288,6791,7292,7081,6186,4833,3525,2633,2234,2518,,5707,12235,9208,6840,13335,11833,14083,13267,8358,4867,2518,1066
65,1,10,Fluvanna County,25967,273,1161,1678,1611,1022,538,1221,1291,1736,1728,1943,1986,1996,1796,1646,1438,1126,821,574,382,,1434,3289,1560,1221,3027,3671,3982,3442,2564,1395,382,273
79,1,10,Greene County,18771,230,1034,1299,1308,722,369,977,1000,1215,1173,1326,1470,1491,1254,1178,1025,689,457,277,277,,1264,2607,1091,977,2215,2499,2961,2432,1714,734,277,230
109,1,10,Louisa County,33430,369,1593,1968,1940,1245,676,1677,1833,1931,1893,2169,2681,2870,2709,2498,2005,1426,902,554,491,,1962,3908,1921,1677,3764,4062,5551,5207,3431,1456,491,369
125,1,10,Nelson County,14827,128,570,770,844,494,271,661,660,699,709,825,1047,1202,1287,1435,1108,829,573,383,332,,698,1614,765,661,1359,1534,2249,2722,1937,956,332,128
540,1,10,Charlottesville City,43956,542,1902,1830,1587,1008,1476,9692,4974,3681,2359,2289,2204,2192,2213,1958,1300,928,703,558,560,,2444,3417,2484,9692,8655,4648,4396,4171,2228,1261,560,542
9,3,11,Amherst County,32384,304,1337,1729,1966,1328,968,2247,1683,1637,1688,2115,2359,2635,2412,2246,1883,1438,1026,717,666,,1641,3695,2296,2247,3320,3803,4994,4658,3321,1743,666,304
11,3,11,Appomattox County,15128,166,699,868,990,599,313,860,879,853,841,964,1041,1200,1112,1002,909,731,486,332,283,,865,1858,912,860,1732,1805,2241,2114,1640,818,283,166
19,3,11,Bedford County,69590,600,2565,4042,4548,2972,1552,3483,2883,3206,3772,4947,5443,6074,5776,5202,4610,3287,2157,1443,1028,,3165,8590,4524,3483,6089,8719,11517,10978,7897,3600,1028,600
31,3,11,Campbell County,55163,507,2316,3105,3397,2291,1215,3838,3343,2994,3121,3727,3955,4293,4050,3520,3128,2291,1787,1230,1055,,2823,6502,3506,3838,6337,6848,8248,7570,5419,3017,1055,507
515,3,11,Bedford City,5964,54,258,352,324,212,125,425,365,350,282,347,379,421,460,364,288,204,246,200,308,,312,676,337,425,715,629,800,824,492,446,308,54
680,3,11,Lynchburg City,77113,1030,3779,4180,3815,2374,5498,11455,6115,4442,3592,3756,4023,4377,4179,3853,2969,2197,1793,1641,2045,,4809,7995,7872,11455,10557,7348,8400,8032,5166,3434,2045,1030
67,3,12,Franklin County,56411,555,2325,3079,3342,1996,1668,3441,2636,2647,2858,3565,4132,4458,4428,4340,4038,2711,1882,1263,1047,,2880,6421,3664,3441,5283,6423,8590,8768,6749,3145,1047,555
89,3,12,Henry County,52969,486,2297,2930,3154,1890,1085,2719,2716,2637,2710,3446,4002,4237,3995,3715,3429,2779,2021,1455,1266,,2783,6084,2975,2719,5353,6156,8239,7710,6208,3476,1266,486
141,3,12,Patrick County,18451,130,637,925,1015,652,350,844,771,853,1041,1256,1328,1508,1421,1472,1356,1110,779,548,455,,767,1940,1002,844,1624,2297,2836,2893,2466,1327,455,130
143,3,12,Pittsylvania County,62807,504,2403,3489,3924,2377,1296,3360,3057,3235,3403,4097,4892,5222,5099,4648,4007,3050,2011,1419,1314,,2907,7413,3673,3360,6292,7500,10114,9747,7057,3430,1314,504
590,3,12,Danville City,42996,575,2281,2632,2541,1466,1084,3181,2540,2285,2068,2360,2679,3044,3234,2815,2346,1722,1464,1268,1411,,2856,5173,2550,3181,4825,4428,5723,6049,4068,2732,1411,575
690,3,12,Martinsville City,13733,204,766,772,773,470,271,836,742,722,693,834,1030,1042,955,853,743,625,507,414,481,,970,1545,741,836,1464,1527,2072,1808,1368,921,481,204
25,4,13,Brunswick County,17010,138,593,837,914,614,474,1261,1115,1075,976,1065,1206,1275,1273,1173,955,714,617,399,336,,731,1751,1088,1261,2190,2041,2481,2446,1669,1016,336,138
83,4,13,Halifax County,35849,348,1473,2120,2291,1425,793,1816,1755,1720,1834,2168,2386,2678,2818,2736,2420,1768,1424,927,949,,1821,4411,2218,1816,3475,4002,5064,5554,4188,2351,949,348
117,4,13,Mecklenburg County,31749,279,1239,1739,1792,1154,660,1669,1514,1599,1549,1772,2244,2393,2537,2512,2235,1779,1313,950,820,,1518,3531,1814,1669,3113,3321,4637,5049,4014,2263,820,279
7,4,14,Amelia County,12759,143,553,744,820,495,254,714,692,681,665,866,956,1101,1089,873,746,560,329,262,216,,696,1564,749,714,1373,1531,2057,1962,1306,591,216,143
29,4,14,Buckingham County,17088,173,773,872,870,559,350,1114,1139,1115,1057,1294,1329,1393,1250,1152,944,657,487,298,262,,946,1742,909,1114,2254,2351,2722,2402,1601,785,262,173
37,4,14,Charlotte County,12404,126,548,681,820,538,286,733,597,583,615,740,895,1012,935,869,766,592,478,311,279,,674,1501,824,733,1180,1355,1907,1804,1358,789,279,126
49,4,14,Cumberland County,9849,110,476,556,609,404,241,629,556,513,511,600,740,730,677,716,615,460,318,216,172,,586,1165,645,629,1069,1111,1470,1393,1075,534,172,110
111,4,14,Lunenburg County,12588,118,491,685,701,430,215,741,676,751,766,813,933,970,1046,903,788,573,422,321,245,,609,1386,645,741,1427,1579,1903,1949,1361,743,245,118
135,4,14,Nottoway County,15830,173,725,892,884,536,304,1036,1104,1037,858,1068,1154,1207,1101,956,860,656,557,340,382,,898,1776,840,1036,2141,1926,2361,2057,1516,897,382,173
147,4,14,Prince Edward County,23238,203,810,1100,1159,721,2019,3746,1365,1151,1016,1187,1375,1382,1415,1233,975,781,596,462,542,,1013,2259,2740,3746,2516,2203,2757,2648,1756,1058,542,203
36,4,15,Charles City County,7157,42,199,342,395,210,143,375,354,361,328,486,613,708,627,602,530,319,248,167,108,,241,737,353,375,715,814,1321,1229,849,415,108,42
41,4,15,Chesterfield County,323856,3567,15630,22330,24144,15220,10251,19298,18172,20111,21035,24198,24884,24989,22943,19381,14462,8928,5813,4442,4058,,19197,46474,25471,19298,38283,45233,49873,42324,23390,10255,4058,3567
75,4,15,Goochland County,21347,152,764,1076,1399,810,412,883,760,970,1219,1595,1873,2040,1886,1709,1520,911,606,390,372,,916,2475,1222,883,1730,2814,3913,3595,2431,996,372,152
85,4,15,Hanover County,100668,892,4007,6532,7549,4743,2992,5872,4480,4677,5761,7625,8419,8788,7579,6305,4958,3438,2401,1825,1825,,4899,14081,7735,5872,9157,13386,17207,13884,8396,4226,1825,892
87,4,15,Henrico County,314932,3858,16156,20908,20790,12496,7193,18793,22836,23051,20805,22684,22821,23189,21212,17289,12928,8716,6701,5937,6569,,20014,41698,19689,18793,45887,43489,46010,38501,21644,12638,6569,3858
127,4,15,New Kent County,19169,171,772,1125,1239,774,448,986,953,1051,1166,1477,1596,1736,1592,1478,1102,674,364,249,216,,943,2364,1222,986,2004,2643,3332,3070,1776,613,216,171
145,4,15,Powhatan County,28123,221,1025,1610,1870,1275,841,1459,1291,1477,1748,2335,2548,2432,2132,1899,1627,1019,622,388,304,,1246,3480,2116,1459,2768,4083,4980,4031,2646,1010,304,221
760,4,15,Richmond City,210309,3023,10947,11377,9711,5612,8237,24282,23221,16647,11958,11802,12306,13315,12994,11168,7367,5051,3977,3202,4112,,13970,21088,13849,24282,39868,23760,25621,24162,12418,7179,4112,3023
33,1,16,Caroline County,28972,372,1577,1974,1886,1061,577,1624,1889,2037,1795,1975,2056,2287,1963,1789,1464,1042,684,464,456,,1949,3860,1638,1624,3926,3770,4343,3752,2506,1148,456,372
99,1,16,King George County,24500,285,1453,1845,1833,1088,597,1480,1474,1637,1598,1806,2039,1875,1578,1212,1037,703,406,293,261,,1738,3678,1685,1480,3111,3404,3914,2790,1740,699,261,285
177,1,16,Spotsylvania County,125684,1521,6439,9278,9892,6064,3347,7667,7469,8045,8079,9435,10338,9655,7925,6632,5101,3373,2281,1569,1574,,7960,19170,9411,7667,15514,17514,19993,14557,8474,3850,1574,1521
179,1,16,Stafford County,134352,1673,7048,9749,11099,7251,3976,9651,8787,8290,8709,10574,11919,10659,8014,5872,4342,2734,1790,1205,1010,,8721,20848,11227,9651,17077,19283,22578,13886,7076,2995,1010,1673
630,1,16,Fredericksburg City,27307,445,1563,1674,1329,711,1795,3802,2408,2163,1609,1572,1602,1546,1355,1095,829,559,452,393,405,,2008,3003,2506,3802,4571,3181,3148,2450,1388,845,405,445
103,5,17,Lancaster County,11236,78,337,466,508,338,173,484,459,372,388,492,652,807,929,1012,1058,841,723,528,591,,415,974,511,484,831,880,1459,1941,1899,1251,591,78
133,5,17,Northumberland County,12346,104,404,529,568,369,186,554,466,461,405,526,738,911,991,1152,1337,1033,739,491,382,,508,1097,555,554,927,931,1649,2143,2370,1230,382,104
159,5,17,Richmond County,9059,64,301,452,467,269,170,519,584,649,555,659,773,744,612,543,457,426,310,218,287,,365,919,439,519,1233,1214,1517,1155,883,528,287,64
193,5,17,Westmoreland County,17524,182,747,929,939,566,381,1018,902,850,822,924,1177,1350,1466,1368,1334,997,729,468,375,,929,1868,947,1018,1752,1746,2527,2834,2331,1197,375,182
57,5,18,Essex County,11233,138,504,688,616,463,272,660,620,592,548,671,810,855,825,833,722,512,375,284,245,,642,1304,735,660,1212,1219,1665,1658,1234,659,245,138
73,5,18,Gloucester County,36886,350,1516,2063,2307,1522,896,2043,2029,2047,2056,2368,2990,3353,2998,2419,2100,1486,998,708,637,,1866,4370,2418,2043,4076,4424,6343,5417,3586,1706,637,350
97,5,18,King and Queen County,7046,58,250,389,379,269,143,390,381,342,353,454,533,582,641,518,494,310,226,153,181,,308,768,412,390,723,807,1115,1159,804,379,181,58
101,5,18,King William County,15981,193,820,1056,1089,694,346,831,989,993,1010,1128,1246,1305,1149,973,796,506,371,247,239,,1013,2145,1040,831,1982,2138,2551,2122,1302,618,239,193
115,5,18,Mathews County,8884,61,256,361,502,346,175,392,342,316,400,488,641,700,727,772,811,585,433,328,248,,317,863,521,392,658,888,1341,1499,1396,761,248,61
119,5,18,Middlesex County,10822,87,361,458,480,302,206,524,487,441,397,585,728,932,927,957,1034,716,493,395,312,,448,938,508,524,928,982,1660,1884,1750,888,312,87
53,4,19,Dinwiddie County,27994,220,1144,1619,1733,1120,894,1729,1574,1559,1669,1918,2327,2397,2093,1727,1444,1154,800,457,416,,1364,3352,2014,1729,3133,3587,4724,3820,2598,1257,416,220
81,4,19,Greensville County,11851,119,424,521,562,358,235,835,843,916,842,1000,1028,926,856,728,600,388,313,204,153,,543,1083,593,835,1759,1842,1954,1584,988,517,153,119
149,4,19,Prince George County,36941,374,1652,2225,2462,1411,928,2505,2673,2905,2822,2866,2836,2702,2422,1998,1547,1089,707,417,400,,2026,4687,2339,2505,5578,5688,5538,4420,2636,1124,400,374
181,4,19,Surry County,6844,69,267,347,399,271,152,407,352,299,301,415,562,685,597,513,431,296,182,162,137,,336,746,423,407,651,716,1247,1110,727,344,137,69
183,4,19,Sussex County,11972,111,449,536,557,328,257,960,1086,863,751,824,900,919,866,740,583,452,319,257,214,,560,1093,585,960,1949,1575,1819,1606,1035,576,214,111
570,4,19,Colonial Heights City,17479,239,836,1006,1157,712,383,1131,1017,989,938,1111,1147,1216,1098,1010,939,744,683,530,593,,1075,2163,1095,1131,2006,2049,2363,2108,1683,1213,593,239
595,4,19,Emporia City,5740,32,290,446,417,230,139,410,342,364,316,352,371,360,400,311,276,212,144,155,173,,322,863,369,410,706,668,731,711,488,299,173,32
670,4,19,Hopewell City,22348,364,1372,1632,1472,796,519,1499,1628,1539,1214,1345,1488,1518,1375,1201,1046,766,610,465,499,,1736,3104,1315,1499,3167,2559,3006,2576,1812,1075,499,364
730,4,19,Petersburg City,31973,607,1913,1782,1717,1037,768,2774,2410,1797,1408,1862,2329,2363,2374,1989,1554,1056,821,675,737,,2520,3499,1805,2774,4207,3270,4692,4363,2610,1496,737,607
93,5,20,Isle of Wight County,35399,335,1407,2144,2305,1518,815,1788,1659,1712,1870,2433,2955,3350,2922,2471,2080,1364,1010,667,594,,1742,4449,2333,1788,3371,4303,6305,5393,3444,1677,594,335
175,5,20,Southampton County,18409,147,746,1031,1101,693,409,1010,924,927,992,1172,1648,1750,1560,1217,1036,752,569,390,335,,893,2132,1102,1010,1851,2164,3398,2777,1788,959,335,147
550,5,20,Chesapeake City,228417,2704,11537,15486,16599,10333,6089,15723,15422,15356,14063,16062,17941,18483,15382,11791,9027,6014,4434,3085,2886,,14241,32085,16422,15723,30778,30125,36424,27173,15041,7519,2886,2704
620,5,20,Franklin City,8528,135,528,623,525,280,195,561,519,451,417,495,547,625,624,548,449,308,232,210,256,,663,1148,475,561,970,912,1172,1172,757,442,256,135
710,5,20,Norfolk City,245782,3685,13496,14466,12433,6854,9740,38293,25596,18667,14172,13101,13514,14697,13361,10369,7358,5099,3928,3325,3628,,17181,26899,16594,38293,44263,27273,28211,23730,12457,7253,3628,3685
740,5,20,Portsmouth City,96470,1516,5772,6586,5732,3374,2328,7903,8088,7003,5635,5576,5982,6693,6259,5165,3931,2842,2292,1728,2065,,7288,12318,5702,7903,15091,11211,12675,11424,6773,4020,2065,1516
800,5,20,Suffolk City,85181,1085,4509,6265,6108,3589,2071,5125,5056,5501,5548,6236,6837,6542,5732,4555,3720,2485,1692,1249,1276,,5594,12373,5660,5125,10557,11784,13379,10287,6205,2941,1276,1085
810,5,20,Virginia Beach City,447021,6085,23481,28327,28295,17410,11503,36842,39044,33487,28385,29902,31413,32101,27423,22585,17272,11795,8734,6647,6290,,29566,56622,28913,36842,72531,58287,63514,50008,29067,15381,6290,6085
95,5,21,James City County,68967,654,2748,3899,4376,2656,1514,3563,3505,3436,3495,4284,4845,5052,4842,4967,4763,3744,2726,1947,1951,,3402,8275,4170,3563,6941,7779,9897,9809,8507,4673,1951,654
199,5,21,York County,66146,625,2986,4451,5009,3220,1870,4309,3636,3649,3782,4574,5445,5588,4550,3677,3111,2193,1526,1075,870,,3611,9460,5090,4309,7285,8356,11033,8227,5304,2601,870,625
650,5,21,Hampton City,136836,1733,6847,8236,8368,5199,4431,12686,11046,9138,7395,7888,9216,10327,9236,7342,5806,4244,3360,2238,2100,,8580,16604,9630,12686,20184,15283,19543,16578,10050,5598,2100,1733
700,5,21,Newport News City,180726,2924,10523,12010,11017,6617,6293,17529,16117,13308,10323,10674,11786,12427,10612,8376,6514,4576,3630,2720,2750,,13447,23027,12910,17529,29425,20997,24213,18988,11090,6350,2750,2924
735,5,21,Poquoson City,12097,77,371,720,921,599,351,675,472,560,673,838,1054,1037,891,768,747,524,396,221,202,,448,1641,950,675,1032,1511,2091,1659,1271,617,202,77
830,5,21,Williamsburg City,15167,136,438,482,477,240,2058,3479,1176,789,526,571,544,659,672,680,721,543,460,273,243,,574,959,2298,3479,1965,1097,1203,1352,1264,733,243,136
1,5,22,Accomack County,33341,413,1661,1946,1971,1092,664,1834,1743,1797,1681,1902,2192,2552,2798,2395,2260,1595,1211,858,776,,2074,3917,1756,1834,3540,3583,4744,5193,3855,2069,776,413
131,5,22,Northampton County,12226,137,579,677,631,372,234,651,625,607,527,620,715,972,1026,964,869,680,515,423,402,,716,1308,606,651,1232,1147,1687,1990,1549,938,402,137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8185867,100810,408792,518914,516772,311449,230339,592854,581092,562179,521470,570590,597192,604461,543907,462541,363858,252004,180968,133455,132220,,509602,1035686,541788,592854,1143271,1092060,1201653,1006448,615862,314423,132220,100810
