Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”
049,Cumberland Co,243.2,129.3,431.1,407.9,546.1,316.6,
051,Dickenson Co,137.8,100.6,"1,121.2","1,364.5",188.7,481.8,
053,Dinwiddie Co,166.0,178.6,"2,943.4","1,689.2",184.8,647.9,
057,Essex Co,190.3,107.6,"2,283.7","1,372.1",373.4,406.0,
059,Fairfax Co,106.9,97.3,"2,362.7","1,540.4",120.2,330.1,
061,Fauquier Co,154.2,107.4,"1,473.9","1,334.3",492.6,662.0,
063,Floyd Co,78.0,65.4,"1,183.5","1,053.7",8.0,44.5,
065,Fluvanna Co,216.7,74.0,"1,055.4","1,019.8",187.4,142.4,
067,Franklin Co,186.1,90.8,"1,395.8","1,394.3",159.7,258.6,
069,Frederick Co,86.4,123.9,"2,173.7","1,896.4",231.0,397.9,
071,Giles Co,144.2,81.0,"1,123.7","1,492.5",89.6,444.9,
073,Gloucester Co,74.4,48.8,"1,344.4","1,589.9",534.6,298.7,
075,Goochland Co,238.3,96.7,534.8,838.1,45.5,179.9,
077,Grayson Co,77.1,135.2,824.3,798.3,185.6,582.8,
079,Greene Co,151.8,271.7,948.9,"1,309.6",930.0,209.2,
081,Greensville Co,317.4,147.0,"1,089.5","1,208.9",232.7,581.2,
083,Halifax Co,239.7,193.2,"1,689.0","2,306.8",364.5,532.7,
085,Hanover Co,110.9,79.1,"1,518.6","1,130.5",541.1,632.0,
087,Henrico Co,244.0,162.9,"3,901.3","2,486.8",380.8,366.9,
089,Henry Co,393.8,288.1,"2,584.3","1,929.8",294.4,342.4,
091,Highland Co,0.0,86.2,702.6,517.0,436.7,138.8,
093,Isle of Wight Co,146.3,116.2,"2,504.6","1,760.7",190.1,397.1,
095,James City Co,117.3,94.0,"1,908.2","1,435.6",517.4,435.5,
097,King & Queen Co,14.8,201.6,73.9,921.5,268.8,178.4,
,,,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,22
,,,,,,,,
