"2010 Voting Precincts
Population Totals",,,
"Augusta","015303","Mount Solon",2110
"Augusta","015304","Churchville Fire Station",1556
"Augusta","015401","Buffalo Gap",1987
"Augusta","015402","Churchville School",1962
"Augusta","015403","Craigsville",3071
"Augusta","015404","Deerfield",644
"Augusta","015405","Cedar Green",2134
"Augusta","015501","Greenville",3090
"Augusta","015502","Middlebrook",1569
"Augusta","015503","Spottswood",1760
"Augusta","015504","White Hill",3488
"Augusta","015601","Sherando",2533
"Augusta","015602","Stuarts Draft",5452
"Augusta","015603","Lyndhurst",2495
"Augusta","015801","Dooms",2944
"Augusta","015802","Fishersville",4811
"Augusta","015803","Wilson",4305
"Bath","017101","Warm Springs",664
"Bath","017102","Mountain Grove",139
"Bath","017201","Hot Springs",992
"Bath","017301","Fairview",642
"Bath","017302","Burnsville",287
"Bath","017401","Millboro",966
"Bath","017501","Healing Springs",1041
"Bedford","019101","Goodview Elem School",6191
"Bedford","019102","Hardy Fire & Rescue Bldg",1396
"Bedford","019103","Chamblissburg First Aid Bldg",1470
"Bedford","019202","Staunton River High School",2575
"Bedford","019203","Moneta Elem School",4830
"Bedford","019204","Body Camp Elem School",756
"Bedford","019205","Saunders Vol Fire Dept",2222
"Bedford","019301","New London Academy",4460
"Bedford","019302","Bedford County Psa",2384
"Bedford","019303","Bethesda Methodist Church",1252
"Bedford","019304","Forest Youth Athletic Assoc.",1401
"Bedford","019305","Huddleston Elem School",1391
"Bedford","019401","Forest Elem School",3455
"Bedford","019402","Thomas Jefferson Elem School",4621
"Bedford","019403","Knights Of Columbus Bldg",3371
"Bedford","019502","Big Island Elem School",1104
"Bedford","019503","Sedalia Center",1356
"Bedford","019504","Odd Fellows Hall",514
"Bedford","019505","Boonsboro Elem School",2762
"Bedford","019506","Boonsboro Ruritan Club",2880
"Bedford","019507","Pleasant View",431
"Bedford","019601","Montvale Elem School",2537
"Bedford","019602","Shady Grove Baptist Church",2986
"Bedford","019603","Thaxton Elem School",2608
"Bedford","019604","Saunders Grove Brethren Church",506
"Bedford","019701","Goode Rescue Squad",2626
"Bedford","019702","Liberty High School",2990
"Bedford","019703","Bedford Christian Church",2719
"Bedford","019704","Suck Springs",882
"Bland","021101","Bastian",891
"Bland","021102","Ceres",885
"Bland","021201","Davis",280
"Bland","021202","Seddon",1472
"Bland","021301","Hollybrook",716
"Bland","021302","Mechanicsburg",1011
"Bland","021401","Rocky Gap",1569
"Botetourt","023101","Amsterdam",2353
"Botetourt","023102","Asbury",3851
"Botetourt","023104","Troutville",1394
"Botetourt","023201","Blue Ridge",3329
"Botetourt","023202","Rainbow Forest",2848
"Botetourt","023301","Buchanan",2571
"Botetourt","023302","Mill Creek",1592
"Botetourt","023303","Roaring Run",742
"Botetourt","023304","Springwood",1401
"Botetourt","023402","Courthouse",2658
"Botetourt","023403","Eagle Rock",1291
"Botetourt","023404","Glen Wilton",1001
"Botetourt","023405","Oriskany",94
"Botetourt","023406","Town Hall",1707
"Botetourt","023501","Coyner Springs",1867
"Botetourt","023502","Cloverdale",4449
"Brunswick","025101","Brodnax",844
"Brunswick","025102","Rock Store",1303
"Brunswick","025103","Tillman",1147
"Brunswick","025201","Dromgoole",523
"Brunswick","025202","Edgerton",1546
"Brunswick","025203","Fitzhugh",1064
"Brunswick","025301","Alberta",298
"Brunswick","025302","Danieltown",1480
"Brunswick","025303","Elmore",653
"Brunswick","025304","Seymour",649
"Brunswick","025401","Sturgeon",4123
"Brunswick","025402","King's Store",675
"Brunswick","025501","Lawrenceville",3129
"Buchanan","027102","Blackey",906
"Buchanan","027103","Hurley",2507
"Buchanan","027201","Grassy",349
"Buchanan","027202","Bull",1400
"Buchanan","027203","Rocklick",1830
"Buchanan","027301","Slate",1788
"Buchanan","027302","North Grundy",1696
"Buchanan","027403","South Grundy",2451
"Buchanan","027404","Oakwood",1635
"Buchanan","027501","Prater",1577
"Buchanan","027502","Fox",327
"Buchanan","027503","Vansant",1195
"Buchanan","027601","Council",980
"Buchanan","027602","Garden",1219
"Buchanan","027603","Hurricane",1011
"Buchanan","027701","Whitewood",2029
"Buchanan","027702","Contrary",1198
"Buckingham","029101","New Canton",2273
"Buckingham","029201","White Hall",3410
"Buckingham","029301","Curdsville",1309
"Buckingham","029302","New Store",1077
"Buckingham","029401","Maysville",2272
"Buckingham","029501","Wrights",1295
"Buckingham","029502","Glenmore",1423
"Buckingham","029601","Slate River",2883
"Buckingham","029701","Gold Hill",1204
"Campbell","031101","Brookville",3857
"Campbell","031102","New London",3577
"Campbell","031201","Walker",5278
"Campbell","031202","Bedford Springs",3184
"Campbell","031301","Evington",1728
"Campbell","031302","Lynch Station",2444
"Campbell","031303","Altavista",3452
"Campbell","031401","Three Forks",3391
"Campbell","031402","Court House",4789
"Campbell","031501","Spring Hill",4015
"Campbell","031502","Yellow Branch",3621
"Campbell","031601","Airport",2376
"Campbell","031602","Kings",2066
"Campbell","031603","Concord",4040
"Campbell","031701","Brookneal",2824
"Campbell","031702","Gladys",3138
"Campbell","031703","Morris Church",1062
"Caroline","033101","Bowling Green",4738
"Caroline","033201","Madison",8285
"Caroline","033301","Port Royal",1581
"Caroline","033302","Chilesburg",763
"Caroline","033303","Woodford",2484
"Caroline","033401","Reedy Church",4663
"Caroline","033402","Penola",363
"Caroline","033501","Mattaponi",5668
"Carroll","035101","Mount Bethel",1689
"Carroll","035102","St Paul",2096
"Carroll","035103","Lambsburg",1055
"Carroll","035104","Oakland A",1394
"Carroll","035201","Hillsville B",2941
"Carroll","035202","Laurel Fork",1143
"Carroll","035203","Gladesboro",1676
"Carroll","035301","Hillsville C",3581
"Carroll","035302","Sylvatus",1338
"Carroll","035303","Dugspur",723
"Carroll","035401","Hillsville D",841
"Carroll","035402","Woodlawn D",3007
"Carroll","035403","Oakland D",1661
"Carroll","035404","Fancy Gap",886
"Carroll","035501","Vaughn",1046
"Carroll","035502","Gladeville",2244
"Carroll","035503","Woodlawn E",1304
"Carroll","035504","Laurel",1417
"Charles City","036101","Precinct 1-1",2561
"Charles City","036201","Precinct 2-1",2260
"Charles City","036301","Precinct 3-1",2435
"Charlotte","037101","County Seat",1921
"Charlotte","037201","Red Oak Wylliesburg",1659
"Charlotte","037302","Drakes Branch",1843
"Charlotte","037401","Keysville",1804
"Charlotte","037501","Cullen",1007
"Charlotte","037503","Red House",1092
"Charlotte","037601","Aspen",746
"Charlotte","037602","Phenix",952
"Charlotte","037701","Bacon",556
"Charlotte","037702","Saxe",1006
"Chesterfield","041101","Bellwood",3809
"Chesterfield","041102","South Chester",5788
"Chesterfield","041103","Enon",4893
"Chesterfield","041104","North Chester",4875
"Chesterfield","041105","Drewry's Bluff",9469
"Chesterfield","041106","Harrowgate",7023
"Chesterfield","041107","Wells",4847
"Chesterfield","041108","Ecoff",5975
"Chesterfield","041109","Elizabeth Scott",7077
"Chesterfield","041110","Dutch Gap",2849
"Chesterfield","041111","Iron Bridge",6131
"Chesterfield","041112","Carver",3860
"Chesterfield","041201","Gates",5053
"Chesterfield","041202","Beulah",5050
"Chesterfield","041203","Bird",4028
"Chesterfield","041204","Jacobs",2953
"Chesterfield","041205","Falling Creek",5531
"Chesterfield","041206","Belmont",3999
"Chesterfield","041207","Chippenham",2731
"Chesterfield","041208","Meadowbrook",5053
"Chesterfield","041209","Salem Church",5988
"Chesterfield","041210","Five Forks",5571
"Chesterfield","041211","Nash",4966
"Chesterfield","041212","St. Lukes",2790
"Chesterfield","041213","Southside",6498
"Chesterfield","041301","Ettrick",7537
"Chesterfield","041302","Deer Run",1978
"Chesterfield","041303","Matoaca",5765
"Chesterfield","041304","Winfrees Store",5452
"Chesterfield","041305","Beach",1679
"Chesterfield","041306","Winterpock",4727
"Chesterfield","041307","Cosby",5841
"Chesterfield","041308","S. Manchester",4514
"Chesterfield","041309","Skinquarter",6195
"Chesterfield","041310","Tomahawk",4246
"Chesterfield","041312","Evergreen",7232
"Chesterfield","041313","Woolridge",4960
"Chesterfield","041315","Bailey Bridge",5910
"Chesterfield","041316","Spring Run",4960
"Chesterfield","041317","Birkdale",4140
"Chesterfield","041401","Harbour Pointe",2485
"Chesterfield","041402","Genito",7899
"Chesterfield","041403","Brandermill",4876
"Chesterfield","041404","Providence",4229
"Chesterfield","041405","La Prade",3925
"Chesterfield","041406","Smoketree",3061
"Chesterfield","041407","Monacan",2176
"Chesterfield","041408","Reams",6138
"Chesterfield","041409","Manchester",4818
"Chesterfield","041410","Wagstaff",2611
"Chesterfield","041411","Swift Creek",3951
"Chesterfield","041413","Shenandoah",4206
"Chesterfield","041414","Crenshaw",5171
"Chesterfield","041501","Huguenot",3698
"Chesterfield","041502","Crestwood",2006
"Chesterfield","041503","Midlothian",8463
"Chesterfield","041504","Robious",5278
"Chesterfield","041505","Bon Air",3804
"Chesterfield","041506","Greenfield",4446
"Chesterfield","041507","Salisbury",5003
"Chesterfield","041508","Belgrade",3361
"Chesterfield","041509","Cranbeck",2732
"Chesterfield","041510","Sycamore",4214
"Chesterfield","041511","Black Heath",2590
"Chesterfield","041513","Beaufont",2240
"Chesterfield","041514","Watkins",4977
"Chesterfield","041515","Davis",5935
"Clarke","043101","Russell",2562
"Clarke","043201","Berryville",3396
"Clarke","043301","Millwood",1771
"Clarke","043302","Pine Grove",835
"Clarke","043401","White Post",2616
"Clarke","043501","Buckmarsh",2135
"Clarke","043502","Blue Ridge",719
"Craig","045101","Court House",1016
"Craig","045201","Ammendale",829
"Craig","045202","North Mountain",174
"Craig","045301","Givens And Reynolds Store",612
"Craig","045302","McGuire's Store",206
"Craig","045303","Marshalls Store",200
"Craig","045401","Barbours Creek",355
"Craig","045402","Paint Bank",137
"Craig","045403","Craig Springs",429
"Craig","045404","Forks Of Johns Creek",150
"Craig","045501","Craig City",1082
"Culpeper","047101","West Fairfax",9267
"Culpeper","047201","East Fairfax",7112
"Culpeper","047302","Eggbornsville",2763
"Culpeper","047303","Cardova",2931
"Culpeper","047401","Eldorado",2366
"Culpeper","047402","Brown's Store",3981
"Culpeper","047501","Jeffersonton",4978
"Culpeper","047502","Rixeyville",1469
"Culpeper","047601","Mitchells",2065
"Culpeper","047602","Pearl Sample",3470
"Culpeper","047702","Brandy Station",3685
"Culpeper","047703","Lignum",1728
"Culpeper","047704","Richardsville",874
"Cumberland","049101","Precinct 1",1912
"Cumberland","049201","Precinct 2",2160
"Cumberland","049301","Precinct 3",1994
"Cumberland","049401","Precinct 4",2004
"Cumberland","049501","Precinct 5",1982
"Dickenson","051101","South Clintwood",3163
"Dickenson","051201","Nora",1120
"Dickenson","051202","Frying Pan",432
"Dickenson","051203","Clinchco",1148
"Dickenson","051301","West Dante",435
"Dickenson","051302","Herald",1088
"Dickenson","051303","Ridge",1038
"Dickenson","051304","Longs Fork",791
"Dickenson","051401","Colley",1708
"Dickenson","051402","Haysi",1874
"Dickenson","051501","Tarpon",832
"Dickenson","051502","Artrip",933
"Dickenson","051503","North Clintwood",1341
"Dinwiddie","053101","Rohoic",1957
"Dinwiddie","053102","White Oak",1177
"Dinwiddie","053103","Church Road",2187
"Dinwiddie","053201","Edgehill",2010
"Dinwiddie","053202","Chesdin",3975
"Dinwiddie","053301","Reams",1039
"Dinwiddie","053302","New Hope",4949
"Dinwiddie","053401","Dinwiddie",2593
"Dinwiddie","053402","Little Zion",1862
"Dinwiddie","053403","Cherry Hill",735
"Dinwiddie","053501","Courthouse",1814
"Dinwiddie","053502","McKenney",2195
"Dinwiddie","053503","Rocky Run",1508
"Essex","057101","Greater Tappahannock",2899
"Essex","057201","North",2754
"Essex","057301","South",2481
"Essex","057401","Central",3017
"Fairfax","059102","Bristow",5503
"Fairfax","059104","Chapel",3156
"Fairfax","059105","Fairview",6948
"Fairfax","059106","Heritage",9805
"Fairfax","059108","Kings Park",4333
"Fairfax","059109","Olde Creek",3262
"Fairfax","059110","North Springfield # 1",3674
"Fairfax","059111","North Springfield # 2",3626
"Fairfax","059113","Oak Hill",3019
"Fairfax","059115","Ravensworth",2466
"Fairfax","059116","Wakefield",2966
"Fairfax","059117","Woodson",7314
"Fairfax","059118","Lake Braddock",6805
"Fairfax","059119","Laurel",5611
"Fairfax","059120","Sideburn",4130
"Fairfax","059121","Villa",3204
"Fairfax","059122","Long Branch",2198
"Fairfax","059123","Robinson",6304
"Fairfax","059124","Olley",2651
"Fairfax","059125","Signal Hill",4257
"Fairfax","059126","Bonnie Brae",3378
"Fairfax","059127","Burke Centre",7071
"Fairfax","059128","Cardinal",3794
"Fairfax","059129","Keene Mill",2648
"Fairfax","059130","Terra Centre",3307
"Fairfax","059202","Flint Hill",5932
"Fairfax","059203","Floris",5204
"Fairfax","059208","Reston #1",4738
"Fairfax","059209","Reston #2",4703
"Fairfax","059213","Vienna #1",5496
"Fairfax","059214","Vienna #2",4158
"Fairfax","059216","Vienna #4",2997
"Fairfax","059218","Vienna #6",2853
"Fairfax","059219","Westbriar",5268
"Fairfax","059220","Dogwood",7658
"Fairfax","059221","Hunters Woods",3302
"Fairfax","059222","Reston #3",3240
"Fairfax","059223","Glade",5132
"Fairfax","059224","South Lakes",5684
"Fairfax","059225","Terraset",6940
"Fairfax","059226","Wolftrap",4460
"Fairfax","059227","Sunrise Valley",2378
"Fairfax","059229","Fox Mill",6062
"Fairfax","059233","North Point",6986
"Fairfax","059234","Aldrin",6352
"Fairfax","059235","Frying Pan",5436
"Fairfax","059236","Stuart",1828
"Fairfax","059237","McNair",7557
"Fairfax","059238","Cameron Glen",4836
"Fairfax","059239","Coppermine",7394
"Fairfax","059301","Chain Bridge",4726
"Fairfax","059302","Chesterbrook",3258
"Fairfax","059303","Churchill",2178
"Fairfax","059304","Cooper",2993
"Fairfax","059305","El Nido",3154
"Fairfax","059306","Great Falls",2525
"Fairfax","059307","Haycock",3369
"Fairfax","059309","Kenmore",4966
"Fairfax","059310","Kirby",3043
"Fairfax","059311","Langley",2736
"Fairfax","059312","Longfellow",3861
"Fairfax","059314","McLean",3382
"Fairfax","059315","Pimmit",5254
"Fairfax","059316","Salona",3623
"Fairfax","059317","Westhampton",3095
"Fairfax","059318","Westmoreland",2030
"Fairfax","059319","Herndon #1",6684
"Fairfax","059320","Herndon #2",8600
"Fairfax","059321","Clearview",5784
"Fairfax","059322","Forestville",4234
"Fairfax","059323","Shouse",3059
"Fairfax","059324","Herndon #3",8008
"Fairfax","059325","Hutchison",5843
"Fairfax","059327","Sugarland",4261
"Fairfax","059328","Hickory",4221
"Fairfax","059329","Seneca",4447
"Fairfax","059330","Colvin",3240
"Fairfax","059331","Spring Hill",3012
"Fairfax","059401","Bush Hill",4703
"Fairfax","059402","Cameron",1650
"Fairfax","059404","Franconia",5616
"Fairfax","059405","Groveton",14159
"Fairfax","059406","Hayfield",3836
"Fairfax","059408","Mount Eagle",2327
"Fairfax","059409","Pioneer",9105
"Fairfax","059410","Rose Hill",6812
"Fairfax","059411","Virginia Hills",2270
"Fairfax","059413","Fairfield",12582
"Fairfax","059415","Crestwood",4910
"Fairfax","059417","Garfield",6213
"Fairfax","059418","Lynbrook",4867
"Fairfax","059419","Lane",5322
"Fairfax","059420","Villages",5421
"Fairfax","059421","Kingstowne",5771
"Fairfax","059422","Van Dorn",5613
"Fairfax","059423","Clermont",3829
"Fairfax","059424","Huntley",3677
"Fairfax","059425","Wilton",3398
"Fairfax","059426","Greenspring",2010
"Fairfax","059427","Island Creek",3893
"Fairfax","059501","Baileys",7072
"Fairfax","059502","Barcroft",4040
"Fairfax","059503","Belvedere",2307
"Fairfax","059505","Glen Forest",3981
"Fairfax","059506","Holmes #1",5521
"Fairfax","059507","Lincolnia",6215
"Fairfax","059508","Masonville",3049
"Fairfax","059510","Parklawn",3395
"Fairfax","059511","Ravenwood",2326
"Fairfax","059512","Sleepy Hollow",1978
"Fairfax","059513","Saint Albans",3711
"Fairfax","059515","Westlawn",3016
"Fairfax","059516","Weyanoke",6152
"Fairfax","059517","Willston",6123
"Fairfax","059518","Columbia",6502
"Fairfax","059519","Hummer",2779
"Fairfax","059520","Skyline",6588
"Fairfax","059521","Brook Hill",3774
"Fairfax","059522","Camelot",1788
"Fairfax","059523","Poe",4239
"Fairfax","059524","Whittier",4390
"Fairfax","059525","Walnut Hill # 1",1464
"Fairfax","059526","Bren Mar",6116
"Fairfax","059527","Edsall",2851
"Fairfax","059528","Ridgelea",1627
"Fairfax","059529","Glen Forest #2",3439
"Fairfax","059530","Holmes #2",3400
"Fairfax","059531","Leewood",1483
"Fairfax","059601","Belle Haven",3411
"Fairfax","059602","Belleview",2762
"Fairfax","059604","Bucknell",7242
"Fairfax","059605","Fort Hunt",2822
"Fairfax","059606","Hollin Hall",2414
"Fairfax","059607","Huntington",5784
"Fairfax","059608","Kirkside",2705
"Fairfax","059609","Marlan",2939
"Fairfax","059610","Sherwood",4412
"Fairfax","059611","Stratford",4505
"Fairfax","059612","Waynewood",1914
"Fairfax","059613","Westgate",4162
"Fairfax","059614","Whitman",2795
"Fairfax","059615","Woodley",5459
"Fairfax","059616","Gunston",9033
"Fairfax","059617","Lorton",4353
"Fairfax","059618","Newington",7713
"Fairfax","059619","Belvoir",5383
"Fairfax","059621","Grosvenor",2958
"Fairfax","059622","Lorton Station",6674
"Fairfax","059623","Alban",2247
"Fairfax","059624","Hunt",5415
"Fairfax","059625","Lorton Center",3439
"Fairfax","059626","Saratoga",7745
"Fairfax","059627","Woodlawn",8222
"Fairfax","059628","Laurel Hill",6903
"Fairfax","059629","South County",4090
"Fairfax","059700","Fairfax A",1252
"Fairfax","059701","Blake",8118
"Fairfax","059703","Fort Buffalo",3551
"Fairfax","059704","Freedom Hill",3338
"Fairfax","059705","Graham",3591
"Fairfax","059706","Greenway",3059
"Fairfax","059707","Mantua",3021
"Fairfax","059708","Marshall",9082
"Fairfax","059709","Mosby",9834
"Fairfax","059710","Pine Spring",4655
"Fairfax","059711","Price",3407
"Fairfax","059712","Shreve",1927
"Fairfax","059713","Timber Lane",5808
"Fairfax","059714","Walker",5681
"Fairfax","059717","Woodburn",3258
"Fairfax","059718","Pine Ridge",4160
"Fairfax","059719","Stenwood",1567
"Fairfax","059720","Thoreau",2282
"Fairfax","059721","Merrifield",7173
"Fairfax","059726","Magarity",7185
"Fairfax","059727","Oakton",3361
"Fairfax","059728","Walnut Hill # 2",1162
"Fairfax","059729","Nottoway",5459
"Fairfax","059730","Penderbrook",5316
"Fairfax","059731","Tysons",5025
"Fairfax","059732","Oak Marr",5086
"Fairfax","059733","Kilmer",5969
"Fairfax","059801","Burke",7602
"Fairfax","059803","Clifton",5430
"Fairfax","059805","Fairfax Station",4213
"Fairfax","059811","Pohick",5792
"Fairfax","059812","Valley",4283
"Fairfax","059815","Woodyard",2747
"Fairfax","059824","Orange",5598
"Fairfax","059825","Cherry Run",3837
"Fairfax","059827","Irving",3356
"Fairfax","059833","White Oaks",4914
"Fairfax","059838","Sangster",3001
"Fairfax","059839","Silverbrook",4746
"Fairfax","059840","West Springfield",4176
"Fairfax","059841","Popes Head",4378
"Fairfax","059842","Parkway",3144
"Fairfax","059843","Fairlakes",5210
"Fairfax","059844","Centerpointe",7062
"Fairfax","059845","Fountainhead",4864
"Fairfax","059846","Greenbriar East",6222
"Fairfax","059847","Greenbriar West",4069
"Fairfax","059848","Fair Oaks",2957
"Fairfax","059849","Newgate North",2384
"Fairfax","059850","South Run",2047
"Fairfax","059851","Willow Springs",7091
"Fairfax","059852","Monument",6552
"Fairfax","059853","Eagle View",6005
"Fairfax","059854","Newgate South",4095
"Fairfax","059901","Centre Ridge",6950
"Fairfax","059902","Brookfield",8055
"Fairfax","059903","Cub Run",5625
"Fairfax","059904","Dulles",3090
"Fairfax","059905","Franklin",4758
"Fairfax","059908","Kinross",6314
"Fairfax","059910","London Towne East",2744
"Fairfax","059911","Navy",5054
"Fairfax","059913","Rocky Run",5892
"Fairfax","059914","Vale",4001
"Fairfax","059915","Virginia Run",3678
"Fairfax","059916","Waples Mill",5551
"Fairfax","059917","Stone",5954
"Fairfax","059918","Centreville",8175
"Fairfax","059919","Green Trails",8076
"Fairfax","059920","Lees Corner",4299
"Fairfax","059921","Deer Park",4876
"Fairfax","059923","Bull Run",2801
"Fairfax","059924","London Towne West",5844
"Fairfax","059925","Old Mill",4280
"Fairfax","059926","Powell",8564
"Fairfax","059927","Lees Corner West",5640
"Fairfax","059928","Poplar Tree",3982
"Fauquier","061101","Kettle Run",2563
"Fauquier","061102","Catlett",4299
"Fauquier","061103","Casanova",1769
"Fauquier","061104","Lois",1610
"Fauquier","061105","Opal",2076
"Fauquier","061201","Courthouse",4532
"Fauquier","061202","Airlie",2226
"Fauquier","061203","Baldwin Ridge",4319
"Fauquier","061204","Warrenton",3987
"Fauquier","061301","Morrisville",2979
"Fauquier","061302","Remington",4598
"Fauquier","061303","Bealeton",5737
"Fauquier","061401","Marshall",3865
"Fauquier","061402","Leeds",3138
"Fauquier","061403","Waterloo",5291
"Fauquier","061501","The Plains",3234
"Fauquier","061502","New Baltimore",6470
"Fauquier","061503","Broad Run",2510
"Floyd","063101","Locust Grove",2902
"Floyd","063201","Little River",3373
"Floyd","063301","Courthouse",3090
"Floyd","063401","Burns Fork",3014
"Floyd","063501","Indian Valley",2900
"Fluvanna","065101","Palmyra",4394
"Fluvanna","065201","Columbia",3865
"Fluvanna","065301","Fork Union",3366
"Fluvanna","065401","Cunningham",4526
"Fluvanna","065501","Rivanna",5337
"Fluvanna","065502","Rivanna 2",4203
"Franklin","067102","Burnt Chimney",4794
"Franklin","067103","Scruggs",4688
"Franklin","067201","Glade Hill",3645
"Franklin","067202","Penhook",1969
"Franklin","067203","Hodgesville",1189
"Franklin","067204","Dudley",1451
"Franklin","067301","Snow Creek",1837
"Franklin","067302","Fork Mountain",1948
"Franklin","067303","Sontag",2890
"Franklin","067304","Dickinson",1162
"Franklin","067401","Henry",2699
"Franklin","067402","Ferrum",3211
"Franklin","067403","Endicott",1664
"Franklin","067501","Waidsboro",1783
"Franklin","067502","Callaway",2569
"Franklin","067503","Bowmans",1381
"Franklin","067504","Gogginsville",1934
"Franklin","067601","Boones Mill",3080
"Franklin","067602","Bonbrook",2739
"Franklin","067603","Cooper's Cove",1976
"Franklin","067701","Rocky Mount East",3156
"Franklin","067702","Rocky Mount West",2493
"Franklin","067703","Rocky Mount South",1901
"Frederick","069101","Russells",3277
"Frederick","069102","Gore",4501
"Frederick","069103","Kernstown",2707
"Frederick","069104","Cedar Creek",2496
"Frederick","069201","Gainesborough",2252
