"PERCENT PASSING SOL TESTS SPRING 1998-SPRING 2002",,,,,,"Grade 3 English: Percent Passing 1998 - 2002",,,,,"Grade 3 Mathematics: Percent Passing 1998 - 2002",,,,,"Grade 3 History: Percent Passing 1998 - 2002",,,,,"Grade 3 Science: Percent Passing 1998 - 2002",,,,,"Grade 5 Writing: Percent Passing 1998 - 2002",,,,,"Grade 5 English:RLR  Percent Passing 1998 - 2002",,,,,"Grade 5 Mathematics: Percent Passing 1998 - 2002",,,,,"Grade 5 History: Percent Passing 1998 - 2002",,,,,"Grade 5 Science: Percent Passing 1998 - 2002",,,,,"Grade 5 Computer/Technology: Percent Passing 1998 - 2002",,,,,"Grade 8 Writing: Percent Passing 1998 - 2002",,,,,"Grade 8 English:RLR  Percent Passing 1998 - 2002",,,,,"Grade 8 Mathematics: Percent Passing 1998 - 2002",,,,,"Grade 8 History: Percent Passing 1998 - 2002",,,,,"Grade 8 Science: Percent Passing 1998 - 2002",,,,,"Grade 8 Computer/Technology: Percent Passing 1998 - 2002",,,,,"EOC Writing: Percent Passing 1998 - 2002",,,,,"EOC English RLR: Percent Passing 1998 - 2002",,,,,"EOC Algebra I: Percent Passing 1998 - 2002",,,,,"EOC Geometry: Percent Passing 1998 - 2002",,,,,"EOC Algebra II: Percent Passing 1998 - 2002",,,,,"EOC U.S. History: Percent Passing 1998 - 2002",,,,,"EOC World History I: Percent Passing 1998 - 2002",,,,,"EOC World History II: Percent Passing 1998 - 2002",,,,,"EOC World Geography: Percent Passing 1998 - 2002",,,,,"EOC Earth Science: Percent Passing 1998 - 2002",,,,,"EOC Biology: Percent Passing 1998 - 2002",,,,,"EOC Chemistry: Percent Passing 1998 - 2002",,,,
"DIV #","DIVISION NAME","SCH #","LOW GR","HIGH GR","SCHOOL NAME"," English 1998  "," English 1999  "," English 2000  "," English 2001  "," English 2002  "," Mathematics  1998  "," Mathematics 1999  "," Mathematics 2000  "," Mathematics 2001  "," Mathematics 2002  "," History 1998  "," History 1999  "," History 2000  "," History 2001  "," History 2002  "," Science 1998  "," Science 1999"," Science 2000"," Science 2001"," Science 2002"," Writing 1998  "," Writing 1999  "," Writing 2000  "," Writing 2001  "," Writing 2002  "," English:RLR 1998  "," English:RLR 1999  "," English:RLR 2000  "," English:RLR 2001  "," English:RLR 2002  "," Mathematics  1998  "," Mathematics 1999  "," Mathematics 2000  "," Mathematics 2001  "," Mathematics 2002  "," History 1998  "," History 1999  "," History 2000  "," History 2001  "," History 2002  "," Science 1998  "," Science 1999"," Science 20000"," Science 2001"," Science 2002"," Computer/ Technology 1998  "," Computer/ Technology 1999"," Computer/ Technology 20000"," Computer/ Technology 2001"," Computer/ Technology 2002"," Writing 1998  "," Writing 1999  "," Writing 2000  "," Writing 2001  "," Writing 2002  "," English:RLR 1998  "," English:RLR 1999  "," English:RLR 2000  "," English:RLR 2001  "," English:RLR 2002  "," Mathematics  1998  "," Mathematics 1999  "," Mathematics 2000  "," Mathematics 2001  "," Mathematics 2002  "," History 1998  "," History 1999  "," History 2000  "," History 2001  "," History 2002  "," Science 1998  "," Science 1999"," Science 2000"," Science 2001"," Science 2002"," Computer/ Technology 1998  "," Computer/ Technology 1999"," Computer/ Technology 2000"," Computer/ Technology 2001"," Computer/ Technology 2002"," Writing 1998  "," Writing 1999  "," Writing 2000  "," Writing 2001  "," Writing 2002  "," English:RLR 1998  "," English:RLR   1999  "," English:RLR   2000  "," English:RLR 2001  "," English:RLR 2002  ","Algebra I   1998  ","Algebra I  1999  ","Algebra I  2000  ","Algebra I  2001  ","Algebra I  2002  ","Geometry   1998  ","Geometry  1999  ","Geometry  2000  ","Geometry  2001  ","Geometry  2002  ","Algebra II  1998  ","Algebra II 1999  ","Algebra II 2000  ","Algebra II 2001  ","Algebra II 2002  ","U.S. History 1998  ","U.S. History 1999  ","U.S. History 2000  ","U.S. History 2001  ","U.S. History 2002  ","World History I 1998  ","World History I 1999","World History I 2000","World History I 2001","World History I 2002","World History  II 1998  ","World History  II 1999  ","World History  II 2000  ","World History  II 2001  ","World History  II 2002  ","World Geography 1998  ","World Geography 1999  ","World Geography 2000  ","World Geography 2001  ","World Geography 2002  ","Earth Science 1998  ","Earth Science 1999  ","Earth Science 2000  ","Earth Science 2001  ","Earth Science 2002  ","Biology  1998  ","Biology 1999  ","Biology 2000  ","Biology 2001  ","Biology 2002  ","Chemistry  1998  ","Chemistry 1999  ","Chemistry 2000  ","Chemistry 2001  ","Chemistry 2002  "
1,"ACCOMACK",590,"PK","5","PUNGOTEAGUE ELEMENTARY",24.5989,19.5876,17.3913,30.9524,51.7241,38.172,29.1667,26.087,52.439,65.5556,17.3913,7.2917,11.6279,33.7349,49.4253,30.6011,19.7917,14.4444,43.9024,56.9767,44.375,52.1127,48.4848,46.3158,53.4091,52.6946,32.3944,30.6931,39.5833,48.2353,24.5509,12.6761,27.7228,30.5263,59.5506,10.241,9.8592,15.7895,32.6087,47.7778,38.7879,24.2857,24,30.2083,51.6484,37.1951,35.2113,55.4455,38.5417,61.1111,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"ACCOMACK",600,"PK","5","KEGOTANK ELEMENTARY.",22.9167,39.7849,32.9897,39.2405,56.5789,33.6842,40.8602,42.7083,55,72,12.766,27.1739,22.1053,46.6667,58.9744,28.7234,36.9565,39.5833,46.7532,61.6438,18.6335,55.1282,36.1446,43.2692,53.5714,44.7853,40.7407,28.2353,47.5248,55.9524,14.7239,9.8765,22.3529,38,69.2308,6.2112,12.3457,9.7826,52.2727,68.4211,27.8481,28.3951,20,33.3333,52.5,32.2981,35.8025,65.0602,56.5657,70.2381,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"ACCOMACK",701,"PK","5","ACCAWMACKE ELEM",".",42.5743,51.8519,43.299,58.1395,".",45.5446,62.963,63.5417,77.2727,".",40.5941,65.8537,66.6667,74.7253,".",49.505,58.5366,60.4167,72.2222,".",66.6667,52.809,54.2056,77.381,".",56.9444,35.6322,44.4444,76.1364,".",36.1111,35.6322,58.8785,86.6667,".",26.3889,32.2581,75,69.3878,".",43.662,35.6322,72.2222,76.3441,".",56.9444,63.2184,60.1852,70.9677,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"ACCOMACK",702,"PK","5","METOMPKIN ELEM",".",32.4074,19.2661,31.1111,83.1169,".",32.4074,37.2727,52.2222,77.7778,".",17.5926,13.2075,40,71.25,".",27.7778,23.3645,37.3626,73.494,".",56.4103,44.3299,51.0638,49.1379,".",40.7407,29.4737,44.6809,53.9216,".",18.5185,18.4783,28.7234,50,".",16.0494,5.3763,23.1481,41.8919,".",53.0864,20.6522,43.617,39.2523,".",58.0247,53.6842,55.3191,62.8866,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"ALBEMARLE",,,,"DIVISION SUMMARY",59.3202,65.5755,67.5179,68.5185,76.3429,63.2787,68.7764,77.7778,77.1058,82.0339,51.9694,66.2791,69.5608,73.2394,77.7027,69.4414,75.3439,80.1223,78.5256,82.7815,67.1038,85.7466,85.8388,86.5466,89.4344,70.8379,77.6776,76.0043,79.0426,86.9611,46.3043,56.0316,70.5882,70.4017,78.2609,29.7062,67.833,59.6739,73.6898,82.1391,64.9237,77.1493,74.5119,80.2561,84.7492,79.7606,89.0643,93.051,88.1356,92.3711,68.5542,74.1638,81.4856,80.2714,79.0487,65.5542,73.908,73.4967,78.9087,77.1654,57.8888,67.008,66.5127,72.9079,71.9823,41.0778,51.7837,54.7788,0,83.8117,73.0216,81.2859,85.0562,87.592,87.3576,70.2864,76.5589,81.576,81.6562,80.5836,64.4114,78.2669,84.9797,82.0955,84.7015,64.1061,74.4413,73.386,77.1622,84.5865,48.6789,60.7187,64.4944,79.6912,87.5862,67.1254,66.129,72.7532,75.8213,82.8331,40.3846,54.5156,50.8333,68.1373,67.218,33.557,40.1628,44.5466,48.1429,66.112,65.9598,73.462,82.0331,86.7542,92.5886,42.4173,33.0189,73.3432,80.4225,93.4688,,,".",".",66.6667,56.5941,69.1304,75.6028,79.6519,79.1715,77.8626,83.1486,85.0444,84.0652,90.676,82.6389,83.4091,78.9091,82.3409,77.5348
2,"ALBEMARLE",10,"KG","5","HOLLYMEAD ELEM.",64.7619,77.8846,83.1858,84.5455,83.6538,70.7547,77.8846,93.8053,83.6364,88.3495,59.434,75,82.3009,88.1818,89.3204,76.1905,83.6538,92.9204,93.6364,89.4231,83.9286,95.2381,93.2692,91.8182,95.4955,83.9286,85.7143,84.1121,86.2385,95.4955,66.9643,70.4762,86.9159,77.0642,84.6847,33.0357,78.0952,71.9626,87.963,80,73.2143,88.5714,85.0467,90.8257,91.8919,93.75,98.0952,98.1308,91.7431,92.7928,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"ALBEMARLE",20,"6","8","LESLIE H. WALTON MIDDLE",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",57.6687,60,78.5714,75.1244,77.7143,48.2353,58.1921,62.0879,71.2121,65.0273,48.9247,56.5934,60.3659,72.3618,66.129,24.4048,34.2697,47.2826,".",70.7865,55.6213,72.4719,75,81.7259,74.0331,66.4671,66.8539,76.3736,78.392,71.1957,".",".",".",".",".",".",".",".",".",".",89.5522,100,100,100,100,".",100,100,100,100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"ALBEMARLE",30,"KG","5","SCOTTSVILLE ELEM.",34.1463,48.8372,51.6129,47.0588,67.8571,35.7143,53.4884,83.871,55.8824,88.8889,30.9524,41.8605,64.5161,55.8824,89.6552,53.6585,69.7674,74.1935,79.4118,82.7586,35.1351,65.625,66.6667,74.4186,92.3077,48.7179,50,73.3333,71.4286,96.1538,5.1282,15.625,53.3333,50,77.7778,12.8205,37.5,51.1111,45.2381,82.1429,41.0256,50,62.2222,73.8095,89.2857,51.2821,75,91.1111,95.2381,92.8571,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,"ALBEMARLE",40,"KG","5","MARY CARR GREER ELEM.",67.6056,67.2727,64.2857,69.4915,81.8182,64.7887,76.3636,72.2892,70.9677,84.2105,54.9296,69.0909,56.6265,70,69.6429,70.4225,81.1321,71.4286,78.3333,78.9474,71.6667,85.9649,82.1918,87.0968,84.6154,71.6667,77.5862,64.3836,78.125,85.2941,46.6667,44.8276,52.8571,75.3846,81.8182,28.3333,72.4138,48.6486,85.7143,86.7647,60,77.5862,63.5135,88.7097,84.507,88.3333,94.8276,89.0411,90.4762,88.4058,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
