Location,TimeFrame,DataFormat,Data
Carroll,2007,Number,29165
Carroll,2008,Number,29164
Carroll,2009,Number,29034
Carroll,2010,Number,30042
Carroll,2011,Number,29981
Charles City,2000,Number,6926
Charles City,2001,Number,6946
Charles City,2002,Number,7023
Charles City,2003,Number,7078
Charles City,2004,Number,7034
Charles City,2005,Number,7039
Charles City,2006,Number,7132
Charles City,2007,Number,7130
Charles City,2008,Number,7213
Charles City,2009,Number,7217
Charles City,2010,Number,7256
Charles City,2011,Number,7241
Charlotte,2000,Number,12472
Charlotte,2001,Number,12421
Charlotte,2002,Number,12467
Charlotte,2003,Number,12275
Charlotte,2004,Number,12268
Charlotte,2005,Number,12309
Charlotte,2006,Number,12349
Charlotte,2007,Number,12237
Charlotte,2008,Number,12174
Charlotte,2009,Number,12039
Charlotte,2010,Number,12586
Charlotte,2011,Number,12505
Charlottesville,2000,Number,45049
Charlottesville,2001,Number,40750
Charlottesville,2002,Number,41171
Charlottesville,2003,Number,40730
Charlottesville,2004,Number,40745
Charlottesville,2005,Number,40827
Charlottesville,2006,Number,41039
Charlottesville,2007,Number,41263
Charlottesville,2008,Number,41618
Charlottesville,2009,Number,42218
Charlottesville,2010,Number,43475
Charlottesville,2011,Number,43511
Chesapeake,2000,Number,199184
Chesapeake,2001,Number,202546
Chesapeake,2002,Number,204635
Chesapeake,2003,Number,208506
Chesapeake,2004,Number,213247
Chesapeake,2005,Number,216570
Chesapeake,2006,Number,218647
Chesapeake,2007,Number,219132
Chesapeake,2008,Number,220319
Chesapeake,2009,Number,222455
Chesapeake,2010,Number,222209
Chesapeake,2011,Number,225050
Chesterfield,2000,Number,259903
Chesterfield,2001,Number,264830
Chesterfield,2002,Number,269390
Chesterfield,2003,Number,274131
Chesterfield,2004,Number,280020
Chesterfield,2005,Number,286254
Chesterfield,2006,Number,293904
Chesterfield,2007,Number,299365
Chesterfield,2008,Number,303852
Chesterfield,2009,Number,306670
Chesterfield,2010,Number,316236
Chesterfield,2011,Number,320277
Clarke,2000,Number,12652
Clarke,2001,Number,12956
Clarke,2002,Number,13091
Clarke,2003,Number,13285
Clarke,2004,Number,13653
Clarke,2005,Number,14016
Clarke,2006,Number,14271
Clarke,2007,Number,14358
Clarke,2008,Number,14562
Clarke,2009,Number,14588
Clarke,2010,Number,14034
Clarke,2011,Number,14258
Colonial Heights,2000,Number,16897
Colonial Heights,2001,Number,17038
Colonial Heights,2002,Number,17099
Colonial Heights,2003,Number,17166
Colonial Heights,2004,Number,17434
Colonial Heights,2005,Number,17515
Colonial Heights,2006,Number,17802
Colonial Heights,2007,Number,17707
Colonial Heights,2008,Number,17689
Colonial Heights,2009,Number,17823
Colonial Heights,2010,Number,17411
Colonial Heights,2011,Number,17440
Covington,2000,Number,6303
Covington,2001,Number,6373
Covington,2002,Number,6358
Covington,2003,Number,6321
Covington,2004,Number,6296
Covington,2005,Number,6184
Covington,2006,Number,6133
Covington,2007,Number,6208
Covington,2008,Number,6183
Covington,2009,Number,6149
Covington,2010,Number,5961
Covington,2011,Number,5939
Craig,2000,Number,5091
Craig,2001,Number,5058
Craig,2002,Number,5046
Craig,2003,Number,5060
Craig,2004,Number,5090
Craig,2005,Number,5068
Craig,2006,Number,5072
Craig,2007,Number,5112
Craig,2008,Number,5052
Craig,2009,Number,4969
Craig,2010,Number,5190
Craig,2011,Number,5099
Culpeper,2000,Number,34262
Culpeper,2001,Number,35326
Culpeper,2002,Number,36663
Culpeper,2003,Number,38157
Culpeper,2004,Number,39729
Culpeper,2005,Number,41956
Culpeper,2006,Number,44174
Culpeper,2007,Number,45719
Culpeper,2008,Number,46264
Culpeper,2009,Number,46502
Culpeper,2010,Number,46689
Culpeper,2011,Number,47476
Cumberland,2000,Number,9017
Cumberland,2001,Number,8986
Cumberland,2002,Number,9045
Cumberland,2003,Number,9134
Cumberland,2004,Number,9110
Cumberland,2005,Number,9317
Cumberland,2006,Number,9416
Cumberland,2007,Number,9555
Cumberland,2008,Number,9636
Cumberland,2009,Number,9757
Cumberland,2010,Number,10052
Cumberland,2011,Number,9969
Danville,2000,Number,48411
Danville,2001,Number,47671
Danville,2002,Number,47280
Danville,2003,Number,46939
Danville,2004,Number,46284
Danville,2005,Number,45684
Danville,2006,Number,45254
Danville,2007,Number,44959
Danville,2008,Number,44595
Danville,2009,Number,44400
Danville,2010,Number,43055
Danville,2011,Number,42852
Dickenson,2000,Number,16395
Dickenson,2001,Number,16240
Dickenson,2002,Number,16134
Dickenson,2003,Number,16080
Dickenson,2004,Number,16079
Dickenson,2005,Number,16175
Dickenson,2006,Number,16024
Dickenson,2007,Number,16033
Dickenson,2008,Number,16176
Dickenson,2009,Number,16087
Dickenson,2010,Number,15903
Dickenson,2011,Number,15741
Dinwiddie,2000,Number,24533
Dinwiddie,2001,Number,24435
Dinwiddie,2002,Number,24650
Dinwiddie,2003,Number,24851
Dinwiddie,2004,Number,25023
Dinwiddie,2005,Number,25181
Dinwiddie,2006,Number,25415
Dinwiddie,2007,Number,25700
Dinwiddie,2008,Number,26299
Dinwiddie,2009,Number,26338
Dinwiddie,2010,Number,28001
Dinwiddie,2011,Number,27918
Emporia,2000,Number,5665
Emporia,2001,Number,5613
Emporia,2002,Number,5705
Emporia,2003,Number,5615
Emporia,2004,Number,5546
Emporia,2005,Number,5543
Emporia,2006,Number,5623
Emporia,2007,Number,5599
Emporia,2008,Number,5625
Emporia,2009,Number,5635
Emporia,2010,Number,5927
Emporia,2011,Number,5871
Essex,2000,Number,9989
Essex,2001,Number,10007
Essex,2002,Number,10093
Essex,2003,Number,10222
Essex,2004,Number,10266
Essex,2005,Number,10476
Essex,2006,Number,10611
Essex,2007,Number,10784
Essex,2008,Number,11007
Essex,2009,Number,11189
Essex,2010,Number,11151
Essex,2011,Number,11205
Fairfax City,2000,Number,21498
Fairfax City,2001,Number,21938
Fairfax City,2002,Number,22095
Fairfax City,2003,Number,22248
Fairfax City,2004,Number,22100
Fairfax City,2005,Number,21997
Fairfax City,2006,Number,22802
Fairfax City,2007,Number,23317
Fairfax City,2008,Number,24066
Fairfax City,2009,Number,24665
Fairfax City,2010,Number,22565
Fairfax City,2011,Number,22549
Fairfax County,2000,Number,969749
Fairfax County,2001,Number,984581
Fairfax County,2002,Number,989551
Fairfax County,2003,Number,992494
Fairfax County,2004,Number,996798
Fairfax County,2005,Number,1002375
Fairfax County,2006,Number,998841
Fairfax County,2007,Number,1005531
Fairfax County,2008,Number,1019402
Fairfax County,2009,Number,1037605
Fairfax County,2010,Number,1081726
Fairfax County,2011,Number,1100692
Falls Church,2000,Number,10377
Falls Church,2001,Number,10524
Falls Church,2002,Number,10596
Falls Church,2003,Number,10611
Falls Church,2004,Number,10620
Falls Church,2005,Number,10891
Falls Church,2006,Number,10921
Falls Church,2007,Number,11039
Falls Church,2008,Number,11358
Falls Church,2009,Number,11957
Falls Church,2010,Number,12332
Falls Church,2011,Number,12751
Fauquier,2000,Number,55139
Fauquier,2001,Number,57295
Fauquier,2002,Number,59224
Fauquier,2003,Number,60839
Fauquier,2004,Number,62611
Fauquier,2005,Number,64287
Fauquier,2006,Number,65703
Fauquier,2007,Number,66411
Fauquier,2008,Number,67240
Fauquier,2009,Number,68010
Fauquier,2010,Number,65203
Fauquier,2011,Number,66071
Floyd,2000,Number,13874
Floyd,2001,Number,14100
Floyd,2002,Number,14163
Floyd,2003,Number,14219
Floyd,2004,Number,14304
Floyd,2005,Number,14493
Floyd,2006,Number,14640
Floyd,2007,Number,14696
Floyd,2008,Number,14937
Floyd,2009,Number,15013
Floyd,2010,Number,15279
Floyd,2011,Number,15378
Fluvanna,2000,Number,20047
Fluvanna,2001,Number,21176
Fluvanna,2002,Number,22070
Fluvanna,2003,Number,22956
Fluvanna,2004,Number,23585
Fluvanna,2005,Number,24456
Fluvanna,2006,Number,24783
Fluvanna,2007,Number,25253
Fluvanna,2008,Number,25584
Fluvanna,2009,Number,25732
Fluvanna,2010,Number,25691
Fluvanna,2011,Number,26061
Franklin City,2000,Number,8346
Franklin City,2001,Number,8206
Franklin City,2002,Number,8124
Franklin City,2003,Number,8222
Franklin City,2004,Number,8318
Franklin City,2005,Number,8449
Franklin City,2006,Number,8692
Franklin City,2007,Number,8853
Franklin City,2008,Number,8830
Franklin City,2009,Number,8814
Franklin City,2010,Number,8582
Franklin City,2011,Number,8588
Franklin County,2000,Number,47286
Franklin County,2001,Number,47885
Franklin County,2002,Number,48268
Franklin County,2003,Number,48667
Franklin County,2004,Number,49214
Franklin County,2005,Number,49745
Franklin County,2006,Number,50365
Franklin County,2007,Number,51347
Franklin County,2008,Number,51732
Franklin County,2009,Number,51924
Franklin County,2010,Number,56159
Franklin County,2011,Number,56419
Frederick,2000,Number,59209
