Name,Description
Little Snake Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Little Snake Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Carroll</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>1.282162</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Brumley Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Brumley Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Catch and Release.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Washington</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>3.7296</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Roaring Fork,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Roaring Fork</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Catch and Release.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Tazewell</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>4.470502</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Green Cove Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Green Cove Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>12"" Minimum. Wild Brook.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Washington</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>100%</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>2.054193</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Cabin Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Cabin Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Grayson</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>2.232373</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Quebec Branch,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Quebec Branch</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Grayson</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>1.145574</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Wilburn Branch,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Wilburn Branch</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Grayson</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>1.741232</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Little Wilson Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Little Wilson Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Grayson</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>2.504695</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Mill Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Mill Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>9"" Minimum</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Grayson</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>1.07899</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Dan River above Townes,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Dan River above Townes</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>16"" Minimum. 2 trout limit. Permit from Danville City required. In b/t reservoirs. Wild all species.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Patrick</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>4.6695</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Dan River above Powerhouse,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Dan River above Powerhouse</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Comments</td> <td>Catch and Release. Wild browns and brooks. Permit from Danville City required.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Patrick</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Length (Miles)</td> <td>3.287607</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Not Stocked in the Fall</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
