RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS), CIVIL PENALTY ($) ,MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
445,MAMAS PIZZA AND SUBS,58833,5028 PLANK ROAD,FREDERICKSBURG,VA,22047,UAB,1,N,RI,OC,10/25/2011,Y,11/3/2011,,,2/3/2012,10,,,,,,
127,STARNUT GOURMET,42637,"1445 LAUGHLIN AVE, STE 100",MCLEAN,VA,22101,UAB,1,N,AL,IH,4/5/2011,N,6/8/2011,7/21/2011,8/19/2011,9/28/2011,15," $ 1,500.00 ",,,,,
138,NM CAFÉ,50105,2255 INTERNATIONAL DR,MCLEAN,VA,22102,UAB,1,N,AL,IH,4/5/2011,Y,4/26/2011,7/21/2011,8/26/2011,9/30/2011,,,,,,Y,
279,COSTCO WHOLESALE 227,13751,7373 BOSTON BOULEVARD,SPRINGFIELD,VA,22153,UAB,1,N,AL,CS,10/12/2011,N,11/3/2011,,,12/8/2011,," $ 2,000.00 ",,,,,
527,HUNAN TASTE RESTAURANT,38873,8088 ROLLING ROAD,SPRINGFIELD,VA,22153,UAB,1,Y,AL,CS,3/12/2012,N,3/19/2012,,,4/5/2012,25,,,,,,
449,COURTYARD BY MARRIOTT VIENNA,50941,2722 GALLOWS ROAD,VIENNA,VA,22180,UAB,1,N,AL,CS,12/14/2011,N,1/17/2012,,,2/7/2012,," $ 2,000.00 ",,,,,
49,SUPER Q MART,54891,16593 RIVER RIDGE BLVD,WOODBRIDGE,VA,22191,UAB,1,N,AL,IH,4/26/2011,N,5/13/2011,6/16/2011,6/24/2011,7/27/2011,30," $ 3,000.00 ",10,,,,
57,SAFEWAY STORE 1270,53114,2042 DANIEL STUART SQ,WOODBRIDGE,VA,22191,UAB,1,Y,AL,OC,4/26/2011,Y,5/6/2011,,,7/29/2011,," $ 5,000.00 ",,,,,
37,WAWA FOOD MARKET #661,5150,13355MINNIEVILLE ROAD,WOODBRIDGE,VA,22192,UAB,1,Y,AL,CS,6/18/2011,N,6/23/2011,,,7/25/2011,," $ 2,000.00 ",,,,,
348,POTOMAC MILLS MOBIL,47866,14496GIDEON DRIVE,WOODBRIDGE,VA,22192,UAB,1,N,AL,CS,11/28/2011,N,12/2/2011,,,1/3/2012,25,,,,,,
351,BELMONT BAY SHELL FOOD MART,47625,12871 GORDON BLVD.,WOODBRIDGE,VA,22192,UAB,1,N,AL,CS,11/13/2011,N,12/6/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
373,HUNAN GARDEN RESTAURANT,24014,"12437 HEDGES RUN DRIVE, SUITE 8",LAKE RIDGE,VA,22192,UAB,1,Y,AL,CS,11/13/2011,N,12/9/2011,,,1/9/2012,25,,,,,,
447,BAJA BISTRO,56176,"2700 POTOMAC MILLS CIRCLE, SUITE 425",WOODBRIDGE,VA,22192,UAB,1,N,AL,CS,11/28/2011,N,12/2/2011,,,2/7/2012,25,,,,,,
597,BISTRO L HERMITAGE,47833,12724 OCCOQUAN RD,WOODBRIDGE,VA,22192,UAB,1,N,AL,IH,11/13/2011,N,1/11/2012,3/1/2012,4/24/2012,5/29/2012,15," $ 1,500.00 ",,,,,
577,7 ELEVEN STORE 32965 B,61920,7001 DALE BOULEVARD,DALE CITY,VA,22193,UAB,1,Y,AL,OC,10/30/2011,N,11/17/2011,1/20/2012,3/7/2012,5/16/2012,," $ 5,000.00 ",,,,,
170,HARD TIMES CAFÉ CLARENDON,56282,3028 WILSON BOULEVARD,ARLINGTON,VA,22201,UAB,1,N,AL,CS,9/18/2011,N,9/30/2011,,,10/25/2011,," $ 2,000.00 ",,,,,
184,HARRIS TEETER #262,48467,3800 S GLEBE ROAD,ARLINGTON,VA,22202,UAB,1,N,AL,CS,9/18/2011,N,9/30/2011,,,10/27/2011,," $ 2,000.00 ",,,,,
393,PIKE RESTAURANT,12842,4111 COLUMBIA PIKE,ARLINGTON,VA,22204,UAB,1,Y,AL,IH,9/17/2011,N,9/30/2011,10/25/2011,11/30/2011,1/18/2012,25," $ 2,000.00 ",,,,,
197,SUPER GIANT 0774,69045,2515 COLUMBIA PIKE,ARLINGTON,VA,22204,UAB,1,N,AL,CS,9/18/2011,N,9/30/2011,,,11/4/2011,," $ 2,000.00 ",,,,,
217,7 ELEVEN STORE 17017-A,69348,5839 N WASHINGTON BOULEVARD,ARLINGTON,VA,22205,UAB,1,N,AL,CS,9/17/2011,N,10/17/2011,,,11/15/2011,," $ 2,000.00 ",,,,,
168,SAMUEL BECKETTS IRISH GASTRO PUB,64425,"2800 S RANDOLPH STRET, SPC 160",ARLINGTON,VA,22206,UAB,1,N,AL,CS,9/18/2011,N,10/3/2011,,,10/25/2011,," $ 2,000.00 ",,,,,
144,HANA TOKYO,17206,4603 DUKE STREET,ALEXANDRIA,VA,22304,UAB,1,Y,AL,CS,8/17/2011,N,9/8/2011,,,10/11/2011,," $ 2,000.00 ",,,,,
83,GIANT FOOD STORE #760,7817,6800 RICHMOND HIGHWAY,ALEXANDRIA,VA,22306,UAB,1,Y,AL,CS,6/15/2011,N,7/7/2011,,,8/9/2011,," $ 2,000.00 ",,,,,
39,MARGARITAS GROCERY,12785,8512 RICHMOND HIGHWAY,ALEXANDRIA,VA,22309,UAB,1,Y,AL,CS,6/15/2011,N,6/30/2011,,,7/28/2011,," $ 2,000.00 ",,,,,
347,KIMICHI HOUSE,61337,8537 RICHMOND HIGHWAY,ALEXANDRIA,VA,22309,UAB,1,N,AL,CS,11/5/2011,N,11/23/2011,,,1/3/2012,25,,,,,,
204,KUMO ASIAN BISTRO,66115,7025 MANCHESTER BOULEVARD SUITE F,ALEXANDRIA,VA,22310,UAB,1,N,AL,AH,3/26/2011,N,4/28/2011,6/23/2011,7/21/2011,11/4/2011,," $ 1,500.00 ",,,,,RSVP TRAINING WITHIN 6 MOS. OF BD. ORDER 
401,SHOPPERS FOOD WAREHOUSE #2652,9413,6200 A LITTLE RIVER TPK,ALEXANDRIA,VA,22312,UAB,1,Y,AL,OC,8/25/2011,N,9/15/2011,10/24/2011,11/30/2011,1/11/2012,," $ 5,000.00 ",3,,,,
117,DELIAS PIZZERIA AND MEDITERRANEAN Grille,53740,211 SWAMP FOX ROAD,ALEXANDRIA,VA,22314,UAB,1,N,AL,CS,8/17/2011,N,8/26/2011,,,9/23/2011,," $ 2,000.00 ",,,,,
119,RUSSIAN GOURMET,43331,907 SLATERS LANE,ALEXANDRIA,VA,22314,UAB,1,N,AL,CS,8/17/2011,N,8/25/2011,,,9/23/2011,," $ 2,000.00 ",,,,,
11,ASIA BISTRO,44888,3140 COWAN BOULEVARD,FREDERICKSBURG,VA,22401,UAB,1,N,RI,CS,5/16/2011,N,5/24/2011,,,4/11/2011,," $ 2,000.00 ",,,,,
35,RT 1 SUNOCO,55569,2307 JEFFERSON DAVIS HIGHWAY,FREDERICKSBURG,VA,22401,UAB,1,N,RI,CS,6/7/2011,N,6/23/2011,,,7/25/2011,," $ 2,000.00 ",,,,,
510,FOODE,66364,"1006 CAROLINE STREET, SUITE C",FREDERICKSBURG,VA,22401,UAB,1,N,RI,CS,2/8/2012,N,2/22/2012,,,3/27/2012,," $ 2,000.00 ",,,,,
25,MISO ASIAN GRILL & SUSHI BAR,64402,1305 JEFFERSON DAVIS HIGHWAY,FREDERICKSBURG,VA,22401,UAB,1,N,RI,CS,5/31/2011,N,6/22/2011,,,7/19/2011,," $ 2,000.00 ",,,,,
116,STAFFORD LIBERTY,40341,1280 JEFFERSON DAVIS HWY,FREDERICKSBURG,VA,22405,UAB,1,N,RI,IH,6/14/2011,N,6/23/2011,7/28/2011,8/11/2011,9/15/2011,,,,,,Y,
499,FIELD HOUSE PIZZA PUB,65644,"736 WARRENTON ROAD, SUITE 105",FREDERICKSBURG,VA,22406,UAB,1,N,RI,CS,2/8/2012,N,2/22/2012,,,3/20/2012,," $ 2,000.00 ",,,,,
266,TASTE OF CHINA II,68491,5030 PLANK ROAD,FREDERICKSBURG,VA,22407,UAB,1,N,RI,CS,10/25/2011,N,11/8/2011,,,12/6/2011,25,,,,,,
578,BRAVO CUCINA ITALIANA,56634,"1 TOWNE CENTRE BLVD, SUITE 3500",FREDERICKSBURG,VA,22407,UAB,1,N,RI,CS,4/4/2012,N,4/23/2012,,,5/16/2012,," $ 2,000.00 ",,,,,
617,NIMIS MART,51539,16392 RICHMOND TPKE,BOWLING GREEN,VA,22427,UAB,1,N,RI,OC,4/21/2012,N,5/8/2012,,,6/1/2012,," $ 1,500.00 ",,,,,RSVP TRAINING
260,GET & ZIP CONVENIENCE STORES #7,7259,901 MCKINNEY BOULEVARD,COLONIAL BEACH,VA,22443,UAB,1,Y,RI,CS,10/14/2011,N,10/27/2011,,,12/1/2011,," $ 2,000.00 ",,,,,
261,TIDES INN MARKET,65108,200 IRVING AVENUE N,COLONIAL BEACH,VA,22443,UAB,1,N,RI,CS,10/14/2011,N,10/31/2011,,,12/1/2011,," $ 2,000.00 ",,,,,
482,INGLESIDE PLANTATION VINEYARDS,29715,5872 LEEDSTOWN ROAD,OAK GROVE,VA,22443,UAB,1,N,RI,CS,2/6/2012,N,2/13/2012,,,3/7/2012,," $ 2,000.00 ",,,,,
281,E & C ENTERPRISES INC VA644,62481,3531 IRVINGTON ROAD,IRVINGTON,VA,22480,UAB,1,N,RI,CS,10/28/2011,N,11/15/2011,,,12/8/2011,," $ 2,000.00 ",,,,,
10,COASTAL,56063,18414 JEFFERSON DAVIS HIGHWAY,LADYSMITH,VA,22501,UAB,1,N,RI,CS,6/2/2011,N,6/13/2011,,,7/11/2011,," $ 2,000.00 ",,,,,
198,FAREWAYS,10511,102 LAKEVIEW PARKWAY,LOCUST GROVE,VA,22508,UAB,1,N,ST,CS,9/30/2011,N,10/5/2011,,,11/4/2011,25,,,,,,
310,WINGS TO GO,64776,10421 COURTHOUSE ROAD,SPOTSYLVANIA,VA,22553,UAB,1,N,RI,CS,10/25/2011,N,11/8/2011,,,12/15/2011,25,,,,,,
90,7 ELEVEN STORE 33701-A,68366,2996 JEFFERSON DAVIS HWY.,STAFFORD,VA,22554,UAB,1,N,RI,CS,6/14/2011,N,6/17/2011,,,8/17/2011,," $ 2,000.00 ",,,,,
156,7 ELEVEN STORE 16938B,61523,2143 JEFFERSON DAVIS HWY,STAFFORD,VA,22554,UAB,1,N,RI,IH,6/14/2011,N,7/20/2011,9/8/2011,9/9/2011,10/13/2011,,,,,,,WITHDRAWN
213,LAST STOP MART,65311,3315 JEFFERSON DAVIS HWY,STAFFORD,VA,22554,UAB,1,N,RI,IH,6/14/2011,N,7/20/2011,9/8/2011,10/14/2011,11/16/2011,5," $ 1,000.00 ",,,,,
41,CVS PHARMACY #3396,67346,902 GARRISONVILLE ROAD,STAFFORD,VA,22556,UAB,1,N,RI,CS,6/21/2011,N,7/8/2011,,,7/28/2011,," $ 2,000.00 ",,,,,
186,MARSHALL FARMS NATURAL CHEESE,31851,24109 CONSTITUTION HIGHWAY,UNIONVILLE,VA,22567,UAB,1,N,ST,CS,9/30/2011,N,10/5/2011,,,10/27/2011,25,,,,,,
2,THOMAS STORE,38315,8249 HISTORY LAND HIGHWAY,WARSAW,VA,22572,UAB,1,Y,RI,CS,5/26/2011,N,6/7/2011,,,7/6/2011,," $ 2,000.00 ",,,,,
325,HANDY MART #17,67209,1208 BERRYVILLE AVENUE,WINCHESTER,VA,22601,UAB,1,N,ST,OC,11/9/2011,N,11/22/2011,,,12/16/2011,15," $ 1,000.00 ",,,,,
341,CAMERON STREET MARKET,76304,123 N CAMERON STREET,WINCHESTER,VA,22601,UAB,1,Y,ST,CS,11/23/2011,N,12/2/2011,,,1/3/2012,25,,,,,,
356,ICHIBAN JAPANESE STEAK & SEAFOOD HOUSE,4936,2058 S PLEASANT VALLEY ROAD,WINCHESTER,VA,22601,UAB,1,N,ST,CS,11/28/2011,N,12/6/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
142,EAST SIDE RAW BAR & GRILL,51149,1815 MILLWOOD PIKE,WINCHESTER,VA,22602,UAB,1,N,ST,IH,6/21/2011,N,7/7/2011,7/27/2011,8/30/2011,10/5/2011,25," $ 2,000.00 ",,,,,
318,340 QUICK MART,40738,304 N BUCKMARSH ST,BERRYVILLE,VA,22611,UAB X3,3,Y,ST,IH,2/28/2011,Y,7/29/2011,10/20/2011,11/10/2011,12/15/2011,30," $ 4,000.00 ",10,,,,
355,STATELINE DOLLAR SAVER,67510,"4740 MARTYINSBURG PIKE, SUITE 9",CLEARBROOK,VA,22624,UAB,1,N,ST,CS,11/28/2011,N,12/2/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
674,WILCO #708,55277,1710 N SHENANDOAH AVE.,FRONT ROYAL,VA,22630,UAB,1,Y,ST,AH,12/8/2011,N,12/22/2011,3/6/2012,4/25/2012,6/29/2012,," $ 3,500.00 ",,,,,
188,7 ELEVEN STORE 2531 34022H,53682,251 CROOKED RUN PLAZA,FRONT ROYAL,VA,22630,UAB,1,N,ST,IH,6/9/2011,N,7/20/2011,9/8/2011,9/27/2011,11/1/2011,25," $ 2,000.00 ",,,,,
461,BIG ALS,38372,10 SOUTH STREET,FRONT ROYAL,VA,22630,UAB,1,N,ST,OC,7/1/2011,N,12/28/2011,,,2/15/2012,," $ 1,500.00 ",,,,,
535,7 ELEVEN STORE 2531-18360 H,17558,138 W 14TH STREET,FRONT ROYAL,VA,22630,UAB,1,N,ST,CS,3/6/2012,N,3/14/2012,,,4/10/2012,," $ 2,000.00 ",,,,,
673,WAYSIDE INN,61218,7783 MAIN STREET,MIDDLETOWN,VA,22645,UAB,1,N,ST,AH,11/28/2011,N,12/27/2011,3/7/2012,4/25/2012,6/29/2012,10, $ 500.00 ,,,,,ABC APPROVED TRAINING
382,COOK'S TRAVEL CENTER,16923,446 W RESERVOIR ROAD,WOODSTOCK,VA,22664,UAB,1,N,ST,CS,11/14/2011,N,12/2/2011,,,1/9/2012,," $ 2,000.00 ",,,,,
407,ALDI FOODS #09,45880,15179 MONTANUS DRIVE,CULPEPER,VA,22701,UAB,1,N,ST,OC,11/16/2011,N,12/6/2011,,,1/11/2012,," $ 1,000.00 ",,,,,
493,PEPPERS,49838,791 MADISON ROAD,CULPEPER,VA,22701,UAB,1,N,ST,OC,11/16/2011,Y,12/5/2011,,,3/19/2012,," $ 1,000.00 ",,,,,
237,THE LITTLE COUNTRY STORE,19114,107 CHRUCH HILL ROAD,ETLAN,VA,22719,UAB,1,N,ST,CS,10/5/2011,N,10/19/2011,,,11/21/2011,," $ 2,000.00 ",,,,,
231,1500 S MAIN LIBERTY,45600,1500 S MAIN STREET,HARRISONBURG,VA,22801,UAB,1,N,ST,CS,10/14/2011,N,10/19/2011,,,11/21/2011,," $ 2,000.00 ",,,,,
269,JESS LUNCH,24015,22 S MAIN STREET,HARRISONBURG,VA,22801,UAB,1,N,ST,CS,10/28/2011,N,11/2/2011,,,12/6/2011,25,,,,,,
330,HOLIDAY INN,41346,1400 E. MARKET STREET,HARRISONBURG,VA,22801,UAB,1,N,ST,OC,10/14/2011,N,10/19/2011,,,12/15/2011,," $ 1,000.00 ",,,,,EMPLOYEES SIGN UP FOR RSVP
274,CAMPUS CORNER,32780,810 PORT REPUBLIC ROAD,HARRISONBURG,VA,22801,UAB,1,Y,ST,CS,10/21/2011,N,10/31/2011,,,12/6/2011,," $ 2,000.00 ",,,,,
235,7 ELEVEN STORE 2531 23904 J,30069,380 N MASON STREET,HARRISONBURG,VA,22802,UAB,1,Y,ST,CS,10/14/2011,N,11/21/2011,,,11/21/2011,," $ 2,000.00 ",,,,,
381,7 ELEVEN STORE 2531-19337H,76249,910 N MAIN STREET,HARRISONBURG,VA,22802,UAB,1,Y,ST,CS,10/28/2011,N,11/2/2011,,,1/9/2012,," $ 2,000.00 ",,,,,
16,MAYLAND MARKET,66253,2247 MAYLAND RD,BROADWAY,VA,22815,UAB,1,N,ST,IH,3/18/2011,N,4/14/2011,5/26/2011,6/10/2011,7/13/2011,10," $ 1,000.00 ",,,,,
294,OTTOBINE COUNTRY STORE,45220,8236 OTTOBINE ROAD,DAYTON,VA,22821,UAB,1,Y,ST,CS,10/26/2011,N,11/9/2011,,,12/12/2011,25,,,,,,
384,MASSANUTTEN WATER PARK,41427,1200 ADVENTURE DRIVE,McGAHEYSVILLE,VA,22840,UAB,1,N,ST,CS,11/7/2011,N,11/23/2011,,,1/9/2012,," $ 2,000.00 ",,,,,
171,DORSEYS MARKET,75326,3028 SCENIC HIGHWAY,MOUNT SOLON,VA,22843,UAB,1,N,ST,CS,9/21/2011,N,9/27/2011,,,10/25/2011,," $ 2,000.00 ",,,,,
190,29N GREENBRIER DRIVE TEXACO,50072,1245 SEMINOLE TRAIL,CHARLOTTESVILLE,VA,22901,UAB,1,N,ST,CS,10/5/2011,N,10/12/2011,,,11/4/2011,," $ 2,000.00 ",,,,,
223,STOP IN FOOD STORES 67,31992,1220 SEMINOLE TRAIL,CHARLOTTESVILLE,VA,22901,UAB,1,N,ST,CS,10/12/2011,N,10/18/2011,,,11/15/2011,25,,,,,,
425,MARKET STREET WINESHOP UPTOWN,12856,230 SHOPPERS WORLD CT,CHARLOTTESVILLE,VA,22901,UAB,1,N,ST,OC,10/5/2011,Y,10/12/2011,,,1/24/2012,," $ 1,500.00 ",,,,,
522,SUMMERS MARKET,38497,1601 EARLYSVILLE ROAD,CHARLOTTESVILLE,VA,22901,UAB,1,Y,ST,CS,3/2/2012,N,3/6/2012,,,4/3/2012,," $ 2,000.00 ",,,,,
216,HOLIDAY INN MONTICELLO,2863,1200 5TH STREET SW,CHARLOTTESVILLE,VA,22902,UAB,1,N,ST,CS,10/12/2011,N,10/19/2011,,,11/15/2011,," $ 2,000.00 ",,,,,
625,LA GUADALUPANA,66876,"221 CARLTON RD, SUITE 15",CHARLOTTESVILLE,VA,22902,UAB,1,N,ST,CS,4/16/2012,N,4/30/2012,,,6/8/2012,25,,,,,,
3,COUPE DEVILLES,38112,9 ELLIEWOOD AVE,CHARLOTESVILLE,VA,22903,UAB,1,N,CH,IH,1/25/2011,N,2/4/2011,3/11/2011,6/1/2011,7/7/2011,30," $ 3,000.00 ",10,,,,
148,GOCO FOOD MART,40675,832 CHERRY AVENUE,CHARLOTTESVILLE,VA,22903,UAB,1,N,ST,CS,9/14/2011,N,9/21/2011,,,10/11/2011,," $ 2,000.00 ",,,,,
149,7 ELEVEN STORE 2531-16728F,344754,2218 BARRACLS ROAD,CHARLOTTESVILLE,VA,22903,UAB,1,N,ST,CS,9/14/2011,N,9/21/2011,,,10/11/2011,," $ 2,000.00 ",,,,,
209,MILLMONT GRILLE,59118,1035 MILLMONT STREET,CHARLOTTESVILLE,VA,22903,UAB,1,N,ST,OC,9/7/2011,N,9/14/2011,,,11/10/2011,," $ 1,000.00 ",,,,,BARTENDER TO TAKE RSVP ON 11-15-2011
250,THE CORNER GROCERY,69202,1325 W. MAIN STREET,CHARLOTTESVILLE,VA,22903,UAB,1,N,ST,OC,10/12/2011,N,10/19/2011,,,12/1/2011,," $ 1,500.00 ",,,,,CERTIFICATION OF COMPLETION OF RSVP BY EMPLOYEE THAT SOLD
329,KROGER 359,78007,1159 EMMET STREET N,CHARLOTTESVILLE,VA,22903,UAB,1,Y,ST,OC,11/2/2011,N,11/14/2011,,,12/15/2011,," $ 4,500.00 ",3,,,,STORE MGR TO ATTEND MART
512,WINE MADE SIMPLE LLC,67980,"2214 IVY ROAD, SUITE 108",CHARLOTTESVILLE,VA,22903,UAB,1,N,ST,CS,3/12/2012,N,3/6/2012,,,3/27/2012,," $ 2,000.00 ",,,,,
603,GOCO FOOD MART 3,53009,924 HARRIS STREET,CHARLOTTESVILLE,VA,22903,UAB,1,Y,ST,CS,4/16/2012,N,4/30/2012,,,5/31/2012,25,,,,,,
607,BLUE MOON DINNER LLC,44827,512 W MAIN STREET,CHARLOTTESVILLE,VA,22903,UAB,1,N,ST,CS,4/16/2012,N,4/30/2012,,,5/31/2012,," $ 2,000.00 ",,,,,
666,FEAST,14855,416 W. MAIN ST. STE. H,CHARLOTTESVILLE,VA,22903,UAB,1,N,ST,OC,4/16/2012,Y,4/30/2012,,,6/29/2012,," $ 1,000.00 ",,,,,
