,,,,TOTAL VIRGINIA POPULATION 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,3,3,Washington County,54827,550,2101,2941,3121,1867,1366,3094,2885,3055,3419,3661,3998,4443,4223,4159,3186,2573,1929,1220,1036,,2651,6062,3233,3094,5940,7080,8441,8382,5759,3149,1036,550
197,3,3,Wythe County,29204,270,1210,1699,1712,1086,580,1442,1597,1641,1823,2073,2227,2171,2224,2116,1698,1345,946,740,604,,1480,3411,1666,1442,3238,3896,4398,4340,3043,1686,604,270
520,3,3,Bristol City,17750,152,830,1009,1028,573,476,1193,1148,1082,1008,1120,1222,1220,1193,1156,871,812,652,511,494,,982,2037,1049,1193,2230,2128,2442,2349,1683,1163,494,152
640,3,3,Galax City,6983,117,317,401,443,259,155,400,363,358,402,444,441,500,503,413,375,297,250,254,291,,434,844,414,400,721,846,941,916,672,504,291,117
63,3,4,Floyd County,15378,153,682,912,971,585,288,706,726,839,920,1038,1192,1150,1226,1194,956,709,438,356,337,,835,1883,873,706,1565,1958,2342,2420,1665,794,337,153
71,3,4,Giles County,17124,177,714,988,1092,629,355,911,840,924,1008,1209,1310,1192,1285,1322,1085,710,514,449,410,,891,2080,984,911,1764,2217,2502,2607,1795,963,410,177
121,3,4,Montgomery County,94342,841,3316,3915,3945,2403,8549,22398,6915,4972,4777,4710,4778,4624,4617,4050,3049,2254,1688,1276,1265,,4157,7860,10952,22398,11887,9487,9402,8667,5303,2964,1265,841
155,3,4,Pulaski County,34607,290,1399,1766,1976,1224,669,1851,1775,1864,2208,2555,2503,2663,2690,2818,2150,1585,1142,789,690,,1689,3742,1893,1851,3639,4763,5166,5508,3735,1931,690,290
750,3,4,Radford City,16414,136,449,546,590,329,2217,5812,865,604,589,617,566,585,599,483,418,329,233,246,201,,585,1136,2546,5812,1469,1206,1151,1082,747,479,201,136
5,3,5,Alleghany County,16175,166,591,883,1055,690,318,738,716,744,881,1052,1190,1286,1210,1321,1063,843,571,439,418,,757,1938,1008,738,1460,1933,2476,2531,1906,1010,418,166
23,3,5,Botetourt County,32928,242,1232,2007,2269,1421,672,1406,1273,1409,1839,2350,2807,2904,2825,2673,1882,1425,999,735,558,,1474,4276,2093,1406,2682,4189,5711,5498,3307,1734,558,242
45,3,5,Craig County,5099,40,211,296,330,219,101,249,226,255,298,341,413,468,403,401,305,208,157,89,89,,251,626,320,249,481,639,881,804,513,246,89,40
161,3,5,Roanoke County,92740,822,3683,5372,6003,3863,2273,4712,4607,4702,5539,6679,7011,7342,7015,6795,4846,3694,3097,2476,2209,,4505,11375,6136,4712,9309,12218,14353,13810,8540,5573,2209,822
580,3,5,Covington City,5939,48,258,343,343,237,132,356,314,350,333,403,436,462,383,412,335,243,204,167,180,,306,686,369,356,664,736,898,795,578,371,180,48
770,3,5,Roanoke City,96714,1445,5607,5697,5209,3095,2015,6410,7534,7081,5965,6328,6689,6985,6772,6011,3931,2864,2422,2166,2488,,7052,10906,5110,6410,14615,12293,13674,12783,6795,4588,2488,1445
775,3,5,Salem City,24961,260,950,1340,1429,935,1108,2291,1322,1208,1329,1530,1642,1889,1770,1580,1243,968,864,652,651,,1210,2769,2043,2291,2530,2859,3531,3350,2211,1516,651,260
15,1,6,Augusta County,73549,613,3020,4197,4637,2885,1741,3857,3885,4075,4363,5179,5995,6094,5653,5193,4079,2992,2191,1553,1347,,3633,8834,4626,3857,7960,9542,12089,10846,7071,3744,1347,613
17,1,6,Bath County,4657,31,123,196,253,179,107,238,159,217,254,335,390,360,341,403,323,301,204,133,110,,154,449,286,238,376,589,750,744,624,337,110,31
91,1,6,Highland County,2267,14,52,89,101,65,45,85,74,94,93,108,152,232,235,226,212,158,96,66,70,,66,190,110,85,168,201,384,461,370,162,70,14
163,1,6,Rockbridge County,22375,188,824,1176,1223,790,430,1309,1086,1037,1151,1414,1605,1796,1823,1792,1399,1217,863,675,577,,1012,2399,1220,1309,2123,2565,3401,3615,2616,1538,577,188
165,1,6,Rockingham County,76589,853,3622,4983,5261,3141,2178,4641,4104,4273,4466,5105,5715,5921,5428,4795,3542,2889,2258,1746,1668,,4475,10244,5319,4641,8377,9571,11636,10223,6431,4004,1668,853
530,1,6,Buena Vista City,6636,66,326,357,434,210,300,664,393,404,324,415,398,427,418,417,321,303,192,127,140,,392,791,510,664,797,739,825,835,624,319,140,66
660,1,6,Harrisonburg City,49973,528,1989,2135,1813,1021,6396,14431,3625,2733,2038,2010,2013,1825,1771,1413,1092,862,712,760,806,,2517,3948,7417,14431,6358,4048,3838,3184,1954,1472,806,528
678,1,6,Lexington City,6995,41,121,163,192,96,1202,2162,302,190,186,188,218,223,286,278,292,212,220,211,212,,162,355,1298,2162,492,374,441,564,504,431,212,41
790,1,6,Staunton City,23769,297,1050,1265,1186,757,702,1582,1546,1523,1254,1416,1506,1661,1646,1625,1291,1059,886,753,764,,1347,2451,1459,1582,3069,2670,3167,3271,2350,1639,764,297
820,1,6,Waynesboro City,21311,304,1237,1455,1296,715,431,1291,1523,1464,1205,1281,1409,1480,1280,1289,1010,875,668,553,545,,1541,2751,1146,1291,2987,2486,2889,2569,1885,1221,545,304
43,1,7,Clarke County,14258,124,602,834,963,646,356,573,602,652,687,1030,1280,1349,1122,1073,743,545,461,317,299,,726,1797,1002,573,1254,1717,2629,2195,1288,778,299,124
69,1,7,Frederick County,79666,904,4033,5490,5728,3512,1920,4465,4626,4890,4953,6070,6585,6211,5087,4757,3482,2659,1843,1271,1180,,4937,11218,5432,4465,9516,11023,12796,9844,6141,3114,1180,904
139,1,7,Page County,23958,226,1022,1451,1420,926,507,1263,1242,1364,1422,1635,1896,1826,1741,1714,1353,1060,819,569,502,,1248,2871,1433,1263,2606,3057,3722,3455,2413,1388,502,226
171,1,7,Shenandoah County,42289,453,1947,2492,2626,1690,880,2213,2261,2231,2317,2915,3134,3155,3025,2904,2531,1973,1428,1047,1067,,2400,5118,2570,2213,4492,5232,6289,5929,4504,2475,1067,453
187,1,7,Warren County,37749,431,1857,2486,2520,1614,992,2316,2039,2170,2320,2711,3214,3179,2679,2251,1703,1232,851,620,564,,2288,5006,2606,2316,4209,5031,6393,4930,2935,1471,564,431
840,1,7,Winchester City,26587,403,1466,1713,1518,917,993,2277,2180,1776,1514,1561,1831,1694,1590,1421,1053,779,697,627,577,,1869,3231,1910,2277,3956,3075,3525,3011,1832,1324,577,403
13,2,8,Arlington County,216004,3054,9379,9707,7916,4439,2941,15851,35096,26207,18585,15785,13911,12660,11575,10163,6592,4170,2924,2241,2808,,12433,17623,7380,15851,61303,34370,26571,21738,10762,5165,2808,3054
59,2,8,Fairfax County,1100692,14951,59217,74009,72770,44268,25656,58660,80283,81778,79755,85480,88129,86393,74230,62923,40617,26389,18122,13283,13779,,74168,146779,69924,58660,162061,165235,174522,137153,67006,31405,13779,14951
107,2,8,Loudoun County,325405,4927,22493,29837,26642,14350,6556,13127,18760,25352,29431,30933,28653,22884,16407,12633,8275,5218,3714,2654,2559,,27420,56479,20906,13127,44112,60364,51537,29040,13493,6368,2559,4927
153,2,8,Prince William County,419006,6505,27466,34284,32560,18590,10319,25779,30124,32484,32370,34110,33612,29744,22722,18501,11863,7616,4664,2999,2694,,33971,66844,28909,25779,62608,66480,63356,41223,19479,7663,2694,6505
510,2,8,Alexandria City,144301,2648,7974,6806,4759,3042,1889,7786,17850,17745,13615,11743,9864,9077,8456,7616,4949,2893,2006,1553,2030,,10622,11565,4931,7786,35595,25358,18941,16072,7842,3559,2030,2648
600,2,8,Fairfax City,22549,400,983,1208,1277,713,625,2015,1610,1556,1406,1619,1649,1687,1399,1361,922,669,516,431,503,,1383,2485,1338,2015,3166,3025,3336,2760,1591,947,503,400
610,2,8,Falls Church City,12751,178,641,852,899,602,294,579,814,850,866,1017,1038,1027,985,807,432,315,195,158,202,,819,1751,896,579,1664,1883,2065,1792,747,353,202,178
683,2,8,Manassas City,39300,630,2589,3199,2881,1725,1014,2753,3288,3257,2845,2797,2782,2780,2275,1728,956,669,452,324,356,,3219,6080,2739,2753,6545,5642,5562,4003,1625,776,356,630
685,2,8,Manassas Park City,15332,232,1149,1286,1134,625,376,1058,1515,1496,1256,1255,1090,920,629,524,276,206,136,107,62,,1381,2420,1001,1058,3011,2511,2010,1153,482,243,62,232
47,1,9,Culpeper County,47476,624,2666,3426,3377,1960,1204,2573,2896,3118,2990,3489,3810,3573,3046,2725,2138,1451,1021,754,635,,3290,6803,3164,2573,6014,6479,7383,5771,3589,1775,635,624
61,1,9,Fauquier County,66071,724,3060,4491,5031,2982,1589,3357,3163,3344,3772,4991,6006,5848,4805,4200,3024,2170,1485,1078,951,,3784,9522,4571,3357,6507,8763,11854,9005,5194,2563,951,724
113,1,9,Madison County,13169,136,567,791,815,530,293,674,644,651,680,828,993,1111,1063,972,788,612,418,302,301,,703,1606,823,674,1295,1508,2104,2035,1400,720,301,136
137,1,9,Orange County,33938,358,1586,2107,2207,1362,733,1603,1752,1911,1964,2327,2602,2556,2328,2313,1891,1681,1163,807,687,,1944,4314,2095,1603,3663,4291,5158,4641,3572,1970,687,358
157,1,9,Rappahannock County,7444,63,279,374,458,270,174,343,303,309,363,467,558,683,634,713,523,376,244,166,144,,342,832,444,343,612,830,1241,1347,899,410,144,63
3,1,10,Albemarle County,100553,1070,4590,5900,6208,3675,5431,6761,7026,6087,5448,6343,6883,7477,6965,6128,4253,3296,2466,2190,2356,,5660,12108,9106,6761,13113,11791,14360,13093,7549,4656,2356,1070
65,1,10,Fluvanna County,26061,287,1248,1646,1636,1042,543,1144,1384,1693,1789,2024,2007,2046,1667,1712,1394,1066,811,564,358,,1535,3282,1585,1144,3077,3813,4053,3379,2460,1375,358,287
79,1,10,Greene County,18660,233,1078,1304,1309,706,378,928,1023,1232,1204,1313,1587,1454,1183,1247,907,638,416,253,267,,1311,2613,1084,928,2255,2517,3041,2430,1545,669,267,233
109,1,10,Louisa County,33395,371,1596,2017,1948,1305,686,1626,1881,1943,1913,2290,2758,2885,2678,2468,1844,1344,824,536,482,,1967,3965,1991,1626,3824,4203,5643,5146,3188,1360,482,371
125,1,10,Nelson County,15097,137,587,775,876,507,291,647,728,704,732,883,1096,1231,1335,1479,1029,823,546,381,310,,724,1651,798,647,1432,1615,2327,2814,1852,927,310,137
540,1,10,Charlottesville City,43511,552,1747,1632,1480,957,1968,10891,4586,3239,2151,2148,2092,2093,2037,1843,1248,934,737,607,569,,2299,3112,2925,10891,7825,4299,4185,3880,2182,1344,569,552
9,3,11,Amherst County,32167,314,1359,1673,2034,1308,1024,2253,1665,1633,1698,2127,2403,2597,2342,2200,1768,1347,1059,738,625,,1673,3707,2332,2253,3298,3825,5000,4542,3115,1797,625,314
11,3,11,Appomattox County,15041,161,658,888,1005,587,326,820,855,814,862,946,1107,1241,1080,1005,889,683,508,324,282,,819,1893,913,820,1669,1808,2348,2085,1572,832,282,161
19,3,11,Bedford County,69246,607,2639,4147,4666,2963,1584,3224,2853,3173,4008,4959,5716,6157,5664,5268,4162,2993,2083,1379,1001,,3246,8813,4547,3224,6026,8967,11873,10932,7155,3462,1001,607
31,3,11,Campbell County,55032,484,2402,3122,3449,2275,1275,3827,3281,3017,3248,3802,4060,4312,3920,3682,2842,2185,1693,1139,1017,,2886,6571,3550,3827,6298,7050,8372,7602,5027,2832,1017,484
515,3,11,Bedford City,6181,49,301,326,348,200,141,433,343,350,304,360,398,441,460,374,279,245,269,233,327,,350,674,341,433,693,664,839,834,524,502,327,49
680,3,11,Lynchburg City,76504,1052,3643,4034,3808,2410,5477,11536,5742,4327,3589,3708,4071,4316,4189,3842,2819,2229,1890,1737,2085,,4695,7842,7887,11536,10069,7297,8387,8031,5048,3627,2085,1052
67,3,12,Franklin County,56419,538,2509,3053,3371,2052,1671,3292,2655,2712,3065,3631,4271,4472,4335,4477,3703,2570,1868,1181,993,,3047,6424,3723,3292,5367,6696,8743,8812,6273,3049,993,538
89,3,12,Henry County,53741,512,2398,2978,3043,1958,1079,2790,2682,2638,2927,3604,4099,4283,3933,3851,3407,2781,2024,1492,1262,,2910,6021,3037,2790,5320,6531,8382,7784,6188,3516,1262,512
141,3,12,Patrick County,18390,148,677,948,1013,674,309,795,759,880,1091,1252,1366,1489,1413,1498,1288,1067,772,502,449,,825,1961,983,795,1639,2343,2855,2911,2355,1274,449,148
143,3,12,Pittsylvania County,62844,534,2632,3525,3997,2390,1349,3173,3118,3167,3595,4114,5044,5336,5078,4671,3706,2843,1928,1431,1213,,3166,7522,3739,3173,6285,7709,10380,9749,6549,3359,1213,534
590,3,12,Danville City,42852,558,2227,2468,2540,1491,1083,3071,2522,2189,2105,2409,2755,3153,3180,2891,2179,1755,1493,1384,1399,,2785,5008,2574,3071,4711,4514,5908,6071,3934,2877,1399,558
690,3,12,Martinsville City,13559,199,682,783,788,495,280,786,728,773,705,878,1035,1075,938,874,650,581,459,412,438,,881,1571,775,786,1501,1583,2110,1812,1231,871,438,199
25,4,13,Brunswick County,17204,154,628,857,940,617,518,1292,1141,1059,1008,1052,1245,1279,1265,1186,914,740,589,399,321,,782,1797,1135,1292,2200,2060,2524,2451,1654,988,321,154
83,4,13,Halifax County,36056,366,1547,2136,2330,1449,824,1741,1760,1727,1904,2226,2478,2758,2823,2840,2217,1731,1331,937,931,,1913,4466,2273,1741,3487,4130,5236,5663,3948,2268,931,366
117,4,13,Mecklenburg County,32622,293,1217,1753,1889,1111,685,1723,1684,1706,1763,1911,2387,2477,2564,2537,2130,1739,1310,928,815,,1510,3642,1796,1723,3390,3674,4864,5101,3869,2238,815,293
7,4,14,Amelia County,12805,152,573,732,832,493,245,701,708,661,682,886,1020,1125,1007,914,730,534,339,254,217,,725,1564,738,701,1369,1568,2145,1921,1264,593,217,152
29,4,14,Buckingham County,17278,169,773,852,902,575,382,1109,1121,1158,1101,1316,1416,1398,1208,1252,852,649,472,300,273,,942,1754,957,1109,2279,2417,2814,2460,1501,772,273,169
37,4,14,Charlotte County,12505,113,532,749,844,531,325,684,592,605,627,775,910,1043,904,908,714,555,493,297,304,,645,1593,856,684,1197,1402,1953,1812,1269,790,304,113
49,4,14,Cumberland County,9969,105,501,585,648,389,255,622,573,515,523,656,762,712,691,762,576,411,324,203,156,,606,1233,644,622,1088,1179,1474,1453,987,527,156,105
111,4,14,Lunenburg County,12874,113,538,694,697,429,246,804,668,792,802,858,997,1001,1079,911,750,529,423,298,245,,651,1391,675,804,1460,1660,1998,1990,1279,721,245,113
135,4,14,Nottoway County,15840,167,739,894,918,547,322,1024,1107,1054,866,1062,1199,1210,1078,962,779,653,537,357,365,,906,1812,869,1024,2161,1928,2409,2040,1432,894,365,167
147,4,14,Prince Edward County,23343,213,820,1072,1163,724,2027,3984,1264,1095,1064,1248,1367,1407,1361,1219,941,764,581,486,543,,1033,2235,2751,3984,2359,2312,2774,2580,1705,1067,543,213
36,4,15,Charles City County,7241,49,209,360,399,231,176,347,385,324,341,500,673,704,652,622,460,304,259,150,96,,258,759,407,347,709,841,1377,1274,764,409,96,49
41,4,15,Chesterfield County,320277,3602,15945,22419,24185,15477,9670,18170,18203,20120,21300,24088,25291,24833,22379,19598,12790,8216,5815,4373,3803,,19547,46604,25147,18170,38323,45388,50124,41977,21006,10188,3803,3602
75,4,15,Goochland County,21883,163,797,1142,1387,767,436,853,864,1096,1399,1686,2012,2100,1897,1813,1307,854,587,389,334,,960,2529,1203,853,1960,3085,4112,3710,2161,976,334,163
85,4,15,Hanover County,100342,916,4276,6646,7687,4819,2826,5448,4410,4696,5995,7724,8768,8669,7321,6385,4615,3197,2420,1785,1739,,5192,14333,7645,5448,9106,13719,17437,13706,7812,4205,1739,916
87,4,15,Henrico County,310445,3889,16279,20535,20740,12570,7020,18150,22852,22062,20837,22596,23119,22953,20375,17267,11697,8307,6771,6020,6406,,20168,41275,19590,18150,44914,43433,46072,37642,20004,12791,6406,3889
127,4,15,New Kent County,18822,177,787,1114,1243,775,435,873,918,1008,1183,1478,1663,1699,1586,1459,989,660,327,237,211,,964,2357,1210,873,1926,2661,3362,3045,1649,564,211,177
145,4,15,Powhatan County,28110,223,1037,1623,1898,1381,815,1392,1278,1484,1822,2416,2590,2413,2078,1997,1462,943,595,376,287,,1260,3521,2196,1392,2762,4238,5003,4075,2405,971,287,223
760,4,15,Richmond City,205533,3077,10547,10680,9504,5588,8525,25689,21633,15597,11619,11737,12264,13190,12661,10746,6624,4828,3910,3243,3871,,13624,20184,14113,25689,37230,23356,25454,23407,11452,7153,3871,3077
33,1,16,Caroline County,28674,363,1575,1917,1845,1049,603,1580,1899,2000,1833,1949,2088,2324,1924,1796,1397,957,669,483,423,,1938,3762,1652,1580,3899,3782,4412,3720,2354,1152,423,363
99,1,16,King George County,24161,281,1478,1795,1902,1074,594,1414,1444,1530,1614,1825,2113,1868,1503,1206,955,641,391,281,252,,1759,3697,1668,1414,2974,3439,3981,2709,1596,672,252,281
177,1,16,Spotsylvania County,124327,1532,6546,9260,9962,6155,3367,7307,7540,7849,8121,9647,10427,9462,7688,6718,4417,3171,2202,1491,1465,,8078,19222,9522,7307,15389,17768,19889,14406,7588,3693,1465,1532
179,1,16,Stafford County,132133,1637,7130,9963,11113,7371,3780,9047,8546,8120,8696,10746,12149,10325,7604,5833,3835,2492,1669,1140,937,,8767,21076,11151,9047,16666,19442,22474,13437,6327,2809,937,1637
630,1,16,Fredericksburg City,25691,404,1432,1567,1211,706,1653,3906,2298,1813,1500,1496,1471,1462,1188,1125,707,524,426,390,412,,1836,2778,2359,3906,4111,2996,2933,2313,1231,816,412,404
103,5,17,Lancaster County,11282,86,346,508,517,324,219,433,443,392,407,512,682,839,953,1074,959,823,668,527,570,,432,1025,543,433,835,919,1521,2027,1782,1195,570,86
133,5,17,Northumberland County,12461,104,399,563,575,366,215,528,458,456,421,558,789,950,971,1242,1257,989,730,503,387,,503,1138,581,528,914,979,1739,2213,2246,1233,387,104
159,5,17,Richmond County,9220,71,319,441,441,282,182,521,590,645,613,684,796,763,632,528,458,428,320,244,262,,390,882,464,521,1235,1297,1559,1160,886,564,262,71
193,5,17,Westmoreland County,17595,184,793,937,945,622,376,990,900,847,868,938,1191,1450,1451,1392,1261,955,690,445,360,,977,1882,998,990,1747,1806,2641,2843,2216,1135,360,184
57,5,18,Essex County,11205,141,501,666,672,445,310,652,582,590,571,706,804,875,840,858,642,464,367,283,236,,642,1338,755,652,1172,1277,1679,1698,1106,650,236,141
73,5,18,Gloucester County,36901,347,1479,2124,2323,1616,914,1990,2052,1916,2177,2449,3148,3357,2872,2507,1940,1443,903,733,611,,1826,4447,2530,1990,3968,4626,6505,5379,3383,1636,611,347
97,5,18,King and Queen County,6997,55,276,405,387,259,135,368,371,357,358,445,541,583,657,518,447,289,224,153,169,,331,792,394,368,728,803,1124,1175,736,377,169,55
101,5,18,King William County,15981,201,818,1044,1156,668,364,848,959,998,1055,1153,1293,1306,1110,1007,702,473,347,238,241,,1019,2200,1032,848,1957,2208,2599,2117,1175,585,241,201
115,5,18,Mathews County,8962,63,286,382,512,365,151,373,344,320,421,510,661,709,726,799,775,578,445,299,243,,349,894,516,373,664,931,1370,1525,1353,744,243,63
119,5,18,Middlesex County,10854,80,356,462,479,312,230,477,511,413,430,596,772,932,949,992,987,681,504,367,324,,436,941,542,477,924,1026,1704,1941,1668,871,324,80
53,4,19,Dinwiddie County,27918,224,1222,1727,1763,1182,835,1658,1577,1567,1696,1980,2400,2397,1985,1775,1316,1087,736,413,378,,1446,3490,2017,1658,3144,3676,4797,3760,2403,1149,378,224
81,4,19,Greensville County,12112,121,392,535,564,367,235,842,887,976,907,1062,1072,1014,850,732,557,375,291,191,142,,513,1099,602,842,1863,1969,2086,1582,932,482,142,121
149,4,19,Prince George County,36555,357,1668,2318,2490,1388,1006,2363,2586,2758,2718,2906,2909,2748,2380,2076,1385,1061,672,413,353,,2025,4808,2394,2363,5344,5624,5657,4456,2446,1085,353,357
181,4,19,Surry County,6931,64,269,359,412,290,165,402,337,306,328,451,641,698,564,524,387,280,175,160,119,,333,771,455,402,643,779,1339,1088,667,335,119,64
183,4,19,Sussex County,12087,96,468,555,549,359,280,934,1115,846,798,848,937,924,871,748,554,426,335,244,200,,564,1104,639,934,1961,1646,1861,1619,980,579,200,96
570,4,19,Colonial Heights City,17440,237,774,1040,1138,707,376,1068,1016,990,931,1096,1210,1177,1060,1119,869,776,662,579,615,,1011,2178,1083,1068,2006,2027,2387,2179,1645,1241,615,237
595,4,19,Emporia City,5871,36,324,448,415,237,155,394,346,333,336,351,388,363,370,349,271,224,175,172,184,,360,863,392,394,679,687,751,719,495,347,184,36
670,4,19,Hopewell City,22580,389,1392,1543,1467,814,598,1550,1668,1506,1287,1356,1541,1529,1339,1261,974,750,617,490,509,,1781,3010,1412,1550,3174,2643,3070,2600,1724,1107,509,389
730,4,19,Petersburg City,32326,643,1758,1754,1694,1089,795,2860,2433,1770,1474,1941,2429,2430,2283,1972,1529,1128,885,691,768,,2401,3448,1884,2860,4203,3415,4859,4255,2657,1576,768,643
93,5,20,Isle of Wight County,35356,341,1484,2109,2341,1533,795,1742,1644,1696,1911,2460,3178,3306,2918,2461,1955,1292,966,646,578,,1825,4450,2328,1742,3340,4371,6484,5379,3247,1612,578,341
175,5,20,Southampton County,18408,146,787,1047,1080,741,395,1020,892,945,1019,1226,1706,1786,1495,1211,957,736,535,358,326,,933,2127,1136,1020,1837,2245,3492,2706,1693,893,326,146
550,5,20,Chesapeake City,225050,2730,11658,15372,16735,10622,6150,14628,14721,14486,14024,16163,18701,18318,14788,11832,8192,5769,4351,3024,2786,,14388,32107,16772,14628,29207,30187,37019,26620,13961,7375,2786,2730
620,5,20,Franklin City,8588,136,511,572,522,309,208,585,477,457,438,504,547,660,591,556,446,322,238,237,272,,647,1094,517,585,934,942,1207,1147,768,475,272,136
710,5,20,Norfolk City,242628,3747,13039,14285,12371,7230,10045,37523,24505,17877,13907,13135,13979,14913,13071,10163,6790,4934,4055,3432,3627,,16786,26656,17275,37523,42382,27042,28892,23234,11724,7487,3627,3747
740,5,20,Portsmouth City,95684,1535,5591,6441,5685,3503,2337,7811,7925,6791,5535,5596,6273,6853,6092,5174,3599,2843,2269,1803,2028,,7126,12126,5840,7811,14716,11131,13126,11266,6442,4072,2028,1535
800,5,20,Suffolk City,84930,1101,4632,6278,6108,3667,2107,4898,4876,5461,5681,6415,7064,6527,5459,4613,3428,2424,1676,1261,1254,,5733,12386,5774,4898,10337,12096,13591,10072,5852,2937,1254,1101
810,5,20,Virginia Beach City,442707,6025,23359,28446,28721,17964,11357,36142,38234,32338,28049,30151,32530,31790,26631,22850,15696,11266,8664,6497,5997,,29384,57167,29321,36142,70572,58200,64320,49481,26962,15161,5997,6025
95,5,21,James City County,68200,666,2766,3828,4293,2782,1439,3390,3386,3189,3570,4413,4937,4932,4857,5100,4577,3553,2726,1896,1900,,3432,8121,4221,3390,6575,7983,9869,9957,8130,4622,1900,666
199,5,21,York County,66134,588,3005,4595,5158,3412,1829,4014,3601,3532,3794,4748,5784,5620,4386,3845,2848,2038,1501,1011,825,,3593,9753,5241,4014,7133,8542,11404,8231,4886,2512,825,588
650,5,21,Hampton City,136401,1813,6870,8260,8353,5416,4628,12720,10603,8726,7344,7960,9840,10359,8980,7329,5451,4143,3343,2207,2056,,8683,16613,10044,12720,19329,15304,20199,16309,9594,5550,2056,1813
700,5,21,Newport News City,179611,2980,10588,11945,11108,6860,6316,17423,15990,12782,10216,10775,12279,12305,10172,8413,6039,4484,3573,2691,2672,,13568,23053,13176,17423,28772,20991,24584,18585,10523,6264,2672,2980
735,5,21,Poquoson City,12000,75,402,709,945,617,371,547,482,527,687,820,1133,1007,899,838,657,498,364,220,202,,477,1654,988,547,1009,1507,2140,1737,1155,584,202,75
830,5,21,Williamsburg City,14444,110,394,410,376,228,2138,3854,1108,687,454,523,479,578,568,666,588,459,386,233,205,,504,786,2366,3854,1795,977,1057,1234,1047,619,205,110
1,5,22,Accomack County,33336,414,1598,1972,1956,1096,748,1764,1829,1752,1703,1919,2285,2671,2696,2465,2089,1572,1182,841,784,,2012,3928,1844,1764,3581,3622,4956,5161,3661,2023,784,414
131,5,22,Northampton County,12377,137,544,699,659,382,279,651,644,617,534,628,767,1070,1000,1014,783,641,522,415,391,,681,1358,661,651,1261,1162,1837,2014,1424,937,391,137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8096604,101446,408741,514065,514893,314401,229874,584194,573620,545971,522884,570750,608180,601224,528891,466407,332956,240339,177314,132407,128047,,510187,1028958,544275,584194,1119591,1093634,1209404,995298,573295,309721,128047,101446
