fips,ctystate,st_abbr,year,landsqmi,airport,bus,care,communication,dams,electric,emergency,fire,hazmat,hwybridge,oil,police,port,potable,railfacil,railbridge,school,wastewater
12086,"Miami-Dade, FL",FL,2011,1897.7,5,9,38,55,33,5,3,9,104,933,NULL,81,95,3,9,NULL,699,7
12087,"Monroe, FL",FL,2011,983.3,3,2,3,25,NULL,5,NULL,10,6,65,NULL,8,NULL,NULL,NULL,NULL,28,1
12089,"Nassau, FL",FL,2011,648.6,2,NULL,1,5,4,NULL,NULL,5,34,62,NULL,4,10,NULL,NULL,NULL,26,10
12091,"Okaloosa, FL",FL,2011,930.2,6,2,4,17,25,NULL,NULL,16,2,125,NULL,6,NULL,NULL,1,NULL,68,3
12099,"Palm Beach, FL",FL,2011,1969.8,6,3,19,31,27,5,NULL,22,48,555,NULL,41,12,3,2,NULL,342,16
12101,"Pasco, FL",FL,2011,746.9,2,1,5,10,1,1,NULL,7,10,70,NULL,8,NULL,NULL,1,NULL,102,4
12103,"Pinellas, FL",FL,2011,273.8,3,2,17,21,4,3,1,32,79,296,NULL,20,12,NULL,NULL,NULL,277,29
12107,"Putnam, FL",FL,2011,727.6,1,1,1,4,6,2,NULL,11,40,39,NULL,7,NULL,NULL,1,1,31,8
12109,"St. Johns, FL",FL,2011,600.7,1,1,1,10,NULL,NULL,NULL,2,6,70,NULL,6,NULL,1,NULL,NULL,59,19
12111,"St. Lucie, FL",FL,2011,571.9,1,1,4,9,6,2,NULL,1,25,135,NULL,4,NULL,1,2,NULL,65,4
12113,"Santa Rosa, FL",FL,2011,1011.6,2,1,4,8,24,2,NULL,11,24,161,NULL,7,NULL,NULL,NULL,NULL,42,4
12115,"Sarasota, FL",FL,2011,555.9,2,4,5,13,NULL,NULL,NULL,6,7,222,NULL,9,NULL,8,NULL,NULL,91,11
12123,"Taylor, FL",FL,2011,1043.3,1,NULL,1,2,2,NULL,NULL,5,20,48,NULL,3,NULL,NULL,NULL,NULL,10,3
12127,"Volusia, FL",FL,2011,1101,5,1,6,24,1,5,NULL,14,47,149,NULL,21,NULL,1,1,NULL,137,10
12129,"Wakulla, FL",FL,2011,606.4,1,NULL,NULL,2,3,1,NULL,3,5,32,1,1,NULL,NULL,NULL,NULL,12,NULL
12131,"Walton, FL",FL,2011,1037.6,1,NULL,1,6,41,NULL,NULL,8,6,137,NULL,6,NULL,NULL,NULL,1,21,2
13025,"Brantley, GA",GA,2011,442.4,NULL,NULL,NULL,4,5,NULL,1,1,7,40,NULL,2,NULL,NULL,NULL,NULL,6,NULL
13029,"Bryan, GA",GA,2011,436,NULL,NULL,NULL,1,1,NULL,NULL,5,2,48,NULL,2,NULL,NULL,NULL,NULL,14,2
13039,"Camden, GA",GA,2011,613,1,NULL,1,5,NULL,1,1,4,21,69,NULL,5,NULL,NULL,NULL,NULL,15,3
13049,"Charlton, GA",GA,2011,773.6,NULL,NULL,1,1,5,NULL,NULL,1,NULL,60,NULL,2,NULL,NULL,NULL,NULL,6,1
13051,"Chatham, GA",GA,2011,426.4,1,3,5,23,4,5,NULL,20,124,186,4,15,54,NULL,8,6,87,6
13127,"Glynn, GA",GA,2011,419.8,3,NULL,2,9,NULL,4,NULL,3,32,78,NULL,8,26,NULL,1,NULL,30,3
13179,"Liberty, GA",GA,2011,489.8,1,NULL,2,2,10,1,NULL,8,15,99,NULL,6,NULL,NULL,NULL,NULL,22,2
13191,"McIntosh, GA",GA,2011,424.3,NULL,NULL,NULL,1,NULL,NULL,NULL,1,4,39,NULL,2,NULL,NULL,NULL,NULL,6,1
13305,"Wayne, GA",GA,2011,641.8,1,NULL,1,3,10,1,NULL,6,21,62,NULL,1,NULL,NULL,1,2,10,2
15001,"Hawaii, HI",HI,2011,4028.4,4,NULL,5,27,12,7,1,1,12,245,NULL,3,6,NULL,3,NULL,54,1
15003,"Honolulu, HI",HI,2011,600.7,4,4,14,50,14,10,4,3,81,591,3,17,47,1,11,NULL,180,5
15005,"Kalawao, HI",HI,2011,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15007,"Kauai, HI",HI,2011,620,1,NULL,2,12,52,2,1,NULL,2,51,NULL,4,4,NULL,2,NULL,19,2
15009,"Maui, HI",HI,2011,1161.5,5,NULL,4,21,46,7,NULL,NULL,7,158,1,5,7,NULL,3,NULL,32,1
17031,"Cook, IL",IL,2011,945.3,4,34,74,81,27,37,42,144,1687,1443,9,175,172,9,97,350,2063,24
17097,"Lake, IL",IL,2011,443.7,2,NULL,8,6,18,3,7,30,157,218,NULL,32,3,2,NULL,27,271,23
18089,"Lake, IN",IN,2011,499,4,4,6,7,5,4,4,24,343,438,3,30,27,1,12,12,192,13
18091,"LaPorte, IN",IN,2011,598.3,3,1,2,4,4,1,2,19,109,190,NULL,8,NULL,1,2,4,48,6
18127,"Porter, IN",IN,2011,418.2,1,NULL,1,6,8,2,1,19,124,251,NULL,10,8,3,NULL,3,65,9
22005,"Ascension, LA",LA,2011,290,1,NULL,3,1,5,NULL,NULL,7,262,192,4,7,28,NULL,NULL,3,28,13
22007,"Assumption, LA",LA,2011,338.7,NULL,NULL,NULL,NULL,2,NULL,NULL,3,13,45,1,2,NULL,NULL,NULL,NULL,11,4
22019,"Calcasieu, LA",LA,2011,1063.7,4,NULL,9,12,3,5,NULL,12,297,413,7,28,86,NULL,2,1,74,11
22023,"Cameron, LA",LA,2011,1284.9,NULL,NULL,1,1,NULL,NULL,1,3,1,57,4,7,76,NULL,NULL,NULL,6,4
22045,"Iberia, LA",LA,2011,574.1,2,NULL,2,2,1,NULL,NULL,3,7,138,1,10,NULL,NULL,1,NULL,38,4
22051,"Jefferson, LA",LA,2011,295.6,1,1,9,7,5,2,NULL,19,147,309,4,22,139,2,12,1,145,12
22053,"Jefferson Davis, LA",LA,2011,651.3,2,1,2,6,NULL,NULL,1,4,NULL,243,3,8,NULL,NULL,NULL,NULL,15,4
22057,"Lafourche, LA",LA,2011,1068.2,1,2,3,5,1,2,NULL,8,25,127,1,7,NULL,2,NULL,2,35,13
22063,"Livingston, LA",LA,2011,648.2,NULL,NULL,1,2,2,NULL,NULL,8,10,214,2,8,NULL,NULL,NULL,NULL,41,6
22071,"Orleans, LA",LA,2011,169.4,1,2,25,21,1,6,1,2,31,340,NULL,36,111,1,8,3,93,6
22075,"Plaquemines, LA",LA,2011,779.9,NULL,NULL,NULL,4,NULL,1,NULL,3,49,34,2,6,162,1,1,NULL,8,4
22087,"St. Bernard, LA",LA,2011,377.5,NULL,1,2,10,NULL,NULL,NULL,1,49,25,2,1,23,NULL,1,NULL,8,4
22089,"St. Charles, LA",LA,2011,279.1,NULL,NULL,1,1,NULL,3,NULL,6,239,75,4,4,48,NULL,NULL,NULL,23,7
22093,"St. James, LA",LA,2011,241.5,NULL,NULL,1,2,NULL,NULL,NULL,5,45,24,2,7,48,NULL,NULL,NULL,11,2
22095,"St. John the Baptist, LA",LA,2011,213.1,1,NULL,1,2,NULL,NULL,1,12,83,39,4,3,30,NULL,NULL,NULL,19,8
22099,"St. Martin, LA",LA,2011,737.6,NULL,NULL,1,6,4,2,NULL,1,4,123,NULL,12,NULL,1,NULL,NULL,21,5
22101,"St. Mary, LA",LA,2011,555.4,1,1,2,4,1,4,2,7,22,145,1,15,NULL,NULL,NULL,NULL,34,13
22103,"St. Tammany, LA",LA,2011,845.6,2,NULL,6,6,16,NULL,NULL,18,23,325,NULL,20,7,NULL,1,NULL,74,33
22105,"Tangipahoa, LA",LA,2011,791.3,1,1,4,5,15,NULL,1,9,23,386,NULL,17,1,NULL,2,NULL,46,16
22109,"Terrebonne, LA",LA,2011,1231.8,2,2,2,5,NULL,2,NULL,13,5,199,1,4,NULL,NULL,1,NULL,50,6
22113,"Vermilion, LA",LA,2011,1173.2,1,NULL,2,6,NULL,NULL,NULL,12,14,273,2,17,NULL,3,NULL,NULL,26,11
23005,"Cumberland, ME",ME,2011,835.2,2,4,6,28,39,4,5,30,64,139,NULL,25,32,NULL,1,1,137,10
23009,"Hancock, ME",ME,2011,1586.9,3,2,3,7,37,NULL,NULL,27,6,17,NULL,7,1,NULL,NULL,NULL,45,9
23013,"Knox, ME",ME,2011,365.1,1,1,1,5,11,NULL,NULL,16,5,6,NULL,6,NULL,NULL,NULL,NULL,31,6
23015,"Lincoln, ME",ME,2011,455.8,1,NULL,2,1,24,3,NULL,12,7,9,NULL,7,NULL,NULL,NULL,NULL,25,5
23023,"Sagadahoc, ME",ME,2011,253.7,1,1,1,2,11,NULL,NULL,9,8,38,NULL,5,5,NULL,NULL,NULL,22,2
23027,"Waldo, ME",ME,2011,729.9,2,NULL,1,3,33,NULL,NULL,21,1,12,1,3,7,NULL,NULL,6,31,6
23029,"Washington, ME",ME,2011,2562.7,5,1,2,7,47,2,NULL,25,28,21,NULL,6,NULL,1,NULL,NULL,43,10
23031,"York, ME",ME,2011,990.7,4,2,3,12,53,4,2,34,36,80,NULL,18,3,NULL,3,2,84,14
24003,"Anne Arundel, MD",MD,2011,414.9,4,5,5,7,12,3,NULL,37,36,99,NULL,3,9,1,3,NULL,198,22
24005,"Baltimore, MD",MD,2011,598.3,1,1,7,18,11,5,1,54,66,449,NULL,14,13,2,6,2,301,3
24009,"Calvert, MD",MD,2011,213.2,NULL,NULL,1,1,6,1,1,5,NULL,5,NULL,2,NULL,NULL,NULL,NULL,35,NULL
24011,"Caroline, MD",MD,2011,319.4,1,NULL,NULL,2,6,1,1,6,4,8,NULL,6,NULL,NULL,NULL,NULL,12,4
24015,"Cecil, MD",MD,2011,346.3,1,NULL,2,2,22,NULL,NULL,11,23,76,NULL,7,NULL,1,NULL,1,39,13
24017,"Charles, MD",MD,2011,457.7,1,4,2,3,7,2,NULL,12,13,12,NULL,2,NULL,NULL,NULL,NULL,54,7
24019,"Dorchester, MD",MD,2011,540.8,1,2,4,3,4,1,1,10,7,12,NULL,4,NULL,NULL,1,NULL,18,3
24025,"Harford, MD",MD,2011,437.1,2,1,2,4,11,2,NULL,10,34,170,1,4,NULL,NULL,1,NULL,73,6
24027,"Howard, MD",MD,2011,250.7,NULL,3,3,NULL,13,NULL,NULL,16,21,84,1,NULL,NULL,NULL,NULL,NULL,112,NULL
24029,"Kent, MD",MD,2011,277,NULL,NULL,2,2,13,NULL,NULL,5,10,7,NULL,3,NULL,NULL,NULL,NULL,12,6
24033,"Prince George's, MD",MD,2011,482.7,5,6,8,7,19,5,NULL,29,35,152,NULL,29,NULL,3,1,1,313,10
24035,"Queen Anne's, MD",MD,2011,371.9,1,NULL,2,1,5,NULL,NULL,9,1,28,NULL,2,NULL,NULL,NULL,NULL,16,5
24037,"St. Mary's, MD",MD,2011,357.2,2,1,3,4,3,NULL,NULL,6,NULL,10,1,1,NULL,NULL,NULL,NULL,46,3
24039,"Somerset, MD",MD,2011,319.7,1,NULL,1,4,1,2,1,7,6,8,NULL,3,NULL,NULL,NULL,NULL,12,7
24041,"Talbot, MD",MD,2011,268.5,1,NULL,1,3,5,2,NULL,5,5,4,NULL,4,NULL,NULL,NULL,NULL,12,2
24045,"Wicomico, MD",MD,2011,374.4,1,2,3,10,14,1,NULL,9,28,29,NULL,4,NULL,NULL,NULL,1,42,7
24047,"Worcester, MD",MD,2011,468.3,1,1,1,10,3,1,NULL,5,9,24,NULL,7,NULL,1,NULL,NULL,18,7
24510,"Baltimore city, MD",MD,2011,80.9,NULL,7,19,16,7,4,NULL,2,221,113,5,3,85,3,10,3,302,4
25001,"Barnstable, MA",MA,2011,393.7,6,5,3,19,13,1,3,20,3,98,NULL,18,NULL,1,1,NULL,85,NULL
25005,"Bristol, MA",MA,2011,553.1,4,11,7,18,64,9,10,27,228,367,1,23,37,1,3,NULL,236,9
25007,"Dukes, MA",MA,2011,103.2,1,1,1,2,2,2,NULL,6,NULL,5,NULL,9,NULL,NULL,NULL,NULL,10,1
25009,"Essex, MA",MA,2011,492.6,2,4,12,16,112,10,10,33,195,377,NULL,51,1,10,2,NULL,304,14
25017,"Middlesex, MA",MA,2011,817.8,3,13,20,38,172,17,23,65,312,753,1,68,11,10,13,NULL,576,18
25019,"Nantucket, MA",MA,2011,45,1,1,1,2,NULL,2,NULL,1,NULL,2,NULL,2,NULL,NULL,NULL,NULL,4,NULL
25021,"Norfolk, MA",MA,2011,396.1,1,3,15,16,57,10,15,30,124,337,NULL,31,10,4,8,NULL,299,13
25023,"Plymouth, MA",MA,2011,659.1,3,9,6,12,193,4,10,33,44,259,NULL,32,NULL,2,1,NULL,203,13
25025,"Suffolk, MA",MA,2011,58.2,1,11,22,12,2,6,NULL,5,78,358,NULL,24,78,2,7,NULL,266,5
26001,"Alcona, MI",MI,2011,674.6,NULL,NULL,NULL,5,5,3,NULL,11,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL
26003,"Alger, MI",MI,2011,915.1,2,1,1,2,3,NULL,NULL,7,1,23,NULL,2,NULL,NULL,NULL,NULL,7,2
26005,"Allegan, MI",MI,2011,825.2,5,1,1,5,18,2,NULL,19,67,69,NULL,11,NULL,1,1,1,72,10
26007,"Alpena, MI",MI,2011,571.9,1,3,1,2,6,NULL,1,8,29,10,1,2,NULL,NULL,NULL,NULL,19,1
26009,"Antrim, MI",MI,2011,475.7,3,2,NULL,NULL,3,NULL,NULL,9,2,5,NULL,4,NULL,NULL,NULL,NULL,16,2
26011,"Arenac, MI",MI,2011,363.2,NULL,NULL,1,1,6,NULL,NULL,5,NULL,33,NULL,1,NULL,NULL,NULL,NULL,9,3
26013,"Baraga, MI",MI,2011,898.3,NULL,NULL,1,2,7,1,NULL,7,NULL,15,NULL,3,NULL,1,NULL,NULL,8,2
26017,"Bay, MI",MI,2011,442.3,2,2,2,8,NULL,7,NULL,14,26,77,4,8,22,1,2,NULL,61,6
26019,"Benzie, MI",MI,2011,319.7,2,NULL,1,1,6,NULL,NULL,4,NULL,8,NULL,4,2,NULL,NULL,NULL,7,2
26021,"Berrien, MI",MI,2011,567.7,4,4,2,11,12,1,NULL,23,66,133,NULL,26,3,1,3,3,109,13
26029,"Charlevoix, MI",MI,2011,416.3,6,1,1,5,4,NULL,NULL,6,20,5,NULL,6,4,NULL,NULL,NULL,19,2
26031,"Cheboygan, MI",MI,2011,715.3,2,NULL,NULL,5,17,2,NULL,6,1,37,1,5,NULL,NULL,NULL,NULL,15,1
26033,"Chippewa, MI",MI,2011,1558.4,4,1,1,11,11,NULL,NULL,10,4,49,NULL,5,NULL,NULL,NULL,NULL,27,8
26041,"Delta, MI",MI,2011,1171.1,2,NULL,1,6,8,2,NULL,11,16,29,NULL,4,10,1,1,4,19,3
26047,"Emmet, MI",MI,2011,467.5,2,NULL,1,8,7,NULL,1,8,NULL,10,NULL,6,NULL,NULL,NULL,NULL,22,1
26053,"Gogebic, MI",MI,2011,1101.8,2,NULL,1,1,7,NULL,NULL,7,NULL,30,NULL,4,NULL,NULL,NULL,NULL,10,10
26055,"Grand Traverse, MI",MI,2011,464.3,3,1,1,7,13,2,NULL,8,9,17,2,11,NULL,1,NULL,1,50,1
26061,"Houghton, MI",MI,2011,1009.1,1,NULL,2,8,14,1,1,23,5,17,NULL,8,NULL,NULL,NULL,NULL,22,8
26063,"Huron, MI",MI,2011,835.7,3,1,2,3,1,1,1,12,12,19,1,8,NULL,2,4,NULL,39,13
26069,"Iosco, MI",MI,2011,549.1,3,2,1,4,16,4,NULL,7,6,14,NULL,6,NULL,NULL,NULL,NULL,20,4
26083,"Keweenaw, MI",MI,2011,540.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,3,1
26089,"Leelanau, MI",MI,2011,347.2,3,NULL,1,5,3,NULL,NULL,5,NULL,5,NULL,2,2,NULL,NULL,NULL,13,1
26095,"Luce, MI",MI,2011,899.1,1,NULL,1,2,7,NULL,NULL,2,4,7,NULL,3,NULL,NULL,NULL,NULL,3,1
26097,"Mackinac, MI",MI,2011,1021.6,4,NULL,1,1,5,NULL,NULL,5,NULL,43,NULL,5,1,1,NULL,1,12,4
26099,"Macomb, MI",MI,2011,479.2,3,5,4,4,8,NULL,1,30,183,154,NULL,25,NULL,NULL,4,2,311,13
26101,"Manistee, MI",MI,2011,542.1,1,1,1,5,4,2,1,8,18,10,1,3,6,NULL,NULL,NULL,20,1
26103,"Marquette, MI",MI,2011,1808.4,2,2,2,14,41,2,NULL,16,9,34,NULL,10,NULL,1,NULL,5,31,7
26105,"Mason, MI",MI,2011,495.1,1,2,1,6,6,3,NULL,8,7,22,NULL,3,8,NULL,NULL,NULL,23,4
26109,"Menominee, MI",MI,2011,1044.1,1,NULL,NULL,2,10,NULL,NULL,10,23,18,NULL,5,1,NULL,1,1,22,3
